阿壩當歸	aa[ek ba[tb dh[xx gv[ux
百合斑駁病毒	bd[eo he[rh bj[ww bo[mi bk[bh du[fm
白鶴頂	bd[po he[gn dk[dy
百合綱	bd[eo he[rh gh[sk
百合根黴病	bd[eo he[rh gf[ag mw[yr bk[bh
百合管薊馬	bd[eo he[rh gr[vg ji[cy ma[vv
百合薊馬	bd[eo he[rh ji[cy ma[vv
百合劍線蟲病	bd[eo he[rh jm[rd xm[sj is[ks bk[bh
百合莖線蟲病	bd[eo he[rh jk[cs xm[sj is[ks bk[bh
百合科	bd[eo he[rh ke[hd
百合藍蛺蝶	bd[eo he[rh lj[cu jx[ij dp[in
白鶴嶺	bd[po he[gn lk[ur
白鶴靈芝屬	bd[po he[gn lk[xh vi[cv uu[up
白河柳	bd[po he[dk lq[ap
百合輪線蟲病	bd[eo he[rh ly[ir xm[sj is[ks bk[bh
百合目	bd[eo he[rh mu[we
百合皮薊馬	bd[eo he[rh pi[vp ji[cy ma[vv
百合青黴病	bd[eo he[rh qk[fo mw[yr bk[bh
百合屬	bd[eo he[rh uu[up
白鶴藤屬	bd[po he[gn tg[co uu[up
百合無症病毒	bd[eo he[rh wu[ee vg[bh bk[bh du[fm
百合小核菌病	bd[eo he[rh xn[ub he[aw jy[cw bk[bh
百合新瘤蚜	bd[eo he[rh xb[lj lq[bp ya[iy
百合亞綱	bd[eo he[rh ya[hy gh[sk
百合葉甲	bd[eo he[rh ye[ku jx[ou
百合疫病	bd[eo he[rh yi[bj bk[bh
百合紫紋羽病	bd[eo he[rh zi[vy wf[sw yu[xx bk[bh
稗黑粉病	bd[hb hw[sd ff[mf bk[bh
白後斑蛾	bd[po hz[pk bj[ww ee[ip
白後尺蠖	bd[po hz[pk ii[ud ho[ic
白後勳綬夜蛾	bd[po hz[pk xy[kl uz[sa ye[wr ee[ip
白蝴蝶花	bd[po hu[ig dp[in hx[cr
白狐狸鼠	bd[po hu[qp li[qo uu[jv
白樺	bd[po hx[ar
白花敗醬	bd[po hx[cr bd[bw jl[dy
白花百里香	bd[po hx[cr bd[eo li[ot xl[ho
白花苞裂芹	bd[po hx[cr bc[cb lp[hy qb[cj
白花菜	bd[po hx[cr cd[ca
白花菜科	bd[po hx[cr cd[ca ke[hd
白花菜目	bd[po hx[cr cd[ca mu[we
白花菜屬	bd[po hx[cr cd[ca uu[up
白花草木犀	bd[po hx[cr cc[co mu[ub xi[uu
白花長梗韭	bd[po hx[cr ih[ph gg[ah jq[fh
白花刺薔薇	bd[po hx[cr ci[cd ql[ct ww[cr
白花翠雀	bd[po hx[cr cv[xw qt[xv
白花大刺兒菜	bd[po hx[cr da[hr ci[cd er[pv cd[ca
白花旦	bd[po hx[cr dj[oh
白花丹科	bd[po hx[cr dj[kw ke[hd
白花點地梅	bd[po hx[cr dm[bd di[ty mw[ar
白花東北堇菜	bd[po hx[cr ds[qx bw[ub jb[nk cd[ca
白花兜被蘭	bd[po hx[cr dz[pe bw[yp lj[bs
白花杜鵑	bd[po hx[cr du[at jr[kn
白花風毛菊	bd[po hx[cr fg[ji mc[sv ju[cb
白花過路黃	bd[po hx[cr go[cz lu[zw hl[gy
白花含笑	bd[po hx[cr hj[rk xn[vp
百花蒿屬	bd[eo hx[cr hc[cw uu[up
白花花木藍	bd[po hx[cr hx[cr mu[ub lj[cu
白花華蒲公英	bd[po hx[cr hx[ru pu[cd gs[bs yk[ck
白花花荵	bd[po hx[cr hx[cr rf[[
白花華水蘇	bd[po hx[cr hx[ru uv[uu su[cl
白花花葉丁香	bd[po hx[cr hx[cr ye[ku dk[hu xl[ho
白花黃芪	bd[po hx[cr hl[gy qi[cu
白花棘豆	bd[po hx[cr ji[cc dz[hk
白花夾竹桃	bd[po hx[cr jx[hb vu[rr tc[av
白花堇菜	bd[po hx[cr jb[nk cd[ca
白樺刻蚜	bd[po hx[ar ke[wd ya[iy
白花苦燈籠	bd[po hx[cr ku[cg dg[hd ls[vy
白花寬葉蔓豆	bd[po hx[cr kr[gc ye[ku mj[co dz[hk
白花龍	bd[po hx[cr ls[yp
白花驢蹄草	bd[po hx[cr lv[mh ti[zl cc[co
白花馬藺	bd[po hx[cr ma[vv lb[cm
白樺麥蛾	bd[po hx[ar md[fw ee[ip
白花曼陀羅	bd[po hx[cr mj[os to[eg lo[sx
白花毛軸莎草	bd[po hx[cr mc[sv vz[iy so[cd cc[co
稗花虻	bd[hb hx[cr mg[iw
白花蒙古石竹	bd[po hx[cr mg[ch gu[uk ui[ek vu[rr
白花泡桐	bd[po hx[cr pc[db ts[ak
白花蒲公英	bd[po hx[cr pu[cd gs[bs yk[ck
白花前胡	bd[po hx[cr qm[bo hu[go
白花薔薇	bd[po hx[cr ql[ct ww[cr
白花蕘花	bd[po hx[cr rc[cq hx[cr
百花山柴胡	bd[eo hx[cr uj[uk id[va hu[go
白花山韭	bd[po hx[cr uj[uk jq[fh
白花山毛桃	bd[po hx[cr uj[uk mc[sv tc[av
白花山野豌豆	bd[po hx[cr uj[uk ye[oy wj[dg dz[hk
白花芍藥	bd[po hx[cr uc[cb yc[cs
白花蛇舌草	bd[po hx[cr ue[ig ue[qk cc[co
白花鼠尾	bd[po hx[cr uu[jv ww[um
白花水八角	bd[po hx[cr uv[uu ba[pd jn[do
白花四季丁香	bd[po hx[cr si[we ji[hz dk[hu xl[ho
白花松蒿	bd[po hx[cr ss[ab hc[cw
白花碎米薺	bd[po hx[cr sv[ew mi[ba ji[cw
百花碎米薺	bd[eo hx[cr sv[ew mi[ba ji[cw
白花天麻	bd[po hx[cr tm[hd ma[ga
白樺天社蛾	bd[po hx[ar tm[hd ue[ut ee[ip
白花茼蒿	bd[po hx[cr ts[ck hc[cw
白花土元胡	bd[po hx[cr tu[uh yr[ee hu[go
白花歪頭菜	bd[po hx[cr wd[bh tz[dd cd[ca
白花委陵菜	bd[po hx[cr ww[hn lk[et cd[ca
白花烏頭	bd[po hx[cr wu[bv tz[dd
白花溪蓀	bd[po hx[cr xi[da sy[cz
白花細葉茶	bd[po hx[cr xi[st ye[ku ia[cr
白花夏枯草	bd[po hx[cr xx[ew ku[ag cc[co
白花莧屬	bd[po hx[cr xm[cj uu[up
白花小卷蛾	bd[po hx[cr xn[ub jr[be ee[ip
白花興安杜鵑	bd[po hx[cr xk[xb an[gn du[at jr[kn
白花荇菜	bd[po hx[cr xk[cr cd[ca
白花繡線菊	bd[po hx[cr xq[sh xm[sj ju[cb
白花延齡草	bd[po hx[cr yj[pj lk[vr cc[co
白花野大豆	bd[po hx[cr ye[oy da[hr dz[hk
白花野火球	bd[po hx[cr ye[oy ho[dp qq[wh
白花野薊	bd[po hx[cr ye[oy ji[cy
白花益母草	bd[po hx[cr yi[bm mu[vv cc[co
白花油麻藤	bd[po hx[cr yz[dy ma[ga tg[co
白花早錦帶花	bd[po hx[cr zc[ou jb[jb dd[cj hx[cr
白花枝子花	bd[po hx[cr vi[au zi[lh hx[cr
白花重瓣溲疏	bd[po hx[cr vs[ph bj[lp sz[dj uu[pw
白花紫藤	bd[po hx[cr zi[vy tg[co
白環紅天蛾	bd[po hr[wb hs[sg tm[hd ee[ip
白喙刺子莞	bd[po hv[kv ci[cd zi[lh gr[cg
白芨	bd[po ji[cj
白及	bd[po ji[pv
白棘豹鼠	bd[po ji[cc bc[pb uu[jv
白基多印姬蜂	bd[po ji[qt do[xx yb[pe ji[nk fg[iw
白脊飛蝨	bd[po ji[uo fw[vp ui[vp
白芨屬	bd[po ji[cj uu[up
白及屬	bd[po ji[pv uu[up
白棘跳蟲	bd[po ji[cc tn[zv is[ks
白蛺蝶	bd[po jx[ij dp[in
白莢竹	bd[po jx[cj vu[rr
白尖病	bd[po jm[xd bk[bh
白箭旌蚧	bd[po jm[vb jk[fr jp[ir
白剪絨	bd[po jm[bd rs[sg
白肩天牛	bd[po jm[ho tm[hd nq[pf
白劍紋夜蛾	bd[po jm[rd wf[sw ye[wr ee[ip
白肩象天牛	bd[po jm[ho xl[dk tm[hd nq[pf
白堅小蠹	bd[po jm[ut xn[ub du[hi
白劍舟蛾	bd[po jm[rd vz[pk ee[ip
敗醬	bd[bw jl[dy
敗醬科	bd[bw jl[dy ke[hd
敗醬屬	bd[bw jl[dy uu[up
白芥	bd[po jp[cr
白接骨	bd[po jp[fl gu[ko
白接骨屬	bd[po jp[fl gu[ko uu[up
稗藎	bd[hb jb[cu
白金薄荷	bd[po jb[rw bo[cd he[cr
白錦帶花	bd[po jb[jb dd[cj hx[cr
白金黑芝麻	bd[po jb[rw hw[sd vi[cv ma[ga
百金花	bd[eo jb[rw hx[cr
百金花屬	bd[eo jb[rw hx[cr uu[up
白金環	bd[po jb[rw hr[wb
白金皇冠豹	bd[po jb[rw hl[bw gr[ge bc[pb
白金迷宮	bd[po jb[rw mi[mz gs[gk
稗藎屬	bd[hb jb[cu uu[up
白金血心	bd[po jb[rw xt[pm xb[dv
白莖眼子菜	bd[po jk[cs yj[mg zi[lh cd[ca
白酒草	bd[po jq[dy cc[co
白酒草屬	bd[po jq[dy cc[co uu[up
白菊木屬	bd[po ju[cb mu[ub uu[up
白絹病	bd[po jr[sk bk[bh
白鵑梅	bd[po jr[kn mw[ar
白鵑梅屬	bd[po jr[kn mw[ar uu[up
白絹野螟蠟	bd[po jr[sk ye[oy mk[ig la[ig
柏科	bd[ab ke[hd
白殼菌	bd[po ke[ug jy[cw
白枯病	bd[po ku[ag bk[bh
白蠟蚧	bd[po la[ig jp[ir
柏拉木屬	bd[ab la[fl mu[ub uu[up
白蠟樹	bd[po la[ig uu[ay
白蠟樹長小蠹	bd[po la[ig uu[ay ih[ph xn[ub du[hi
白蠟樹屬	bd[po la[ig uu[ay uu[up
白蠟樹疫病	bd[po la[ig uu[ay yi[bj bk[bh
白欖	bd[po lj[au
白蘭花	bd[po lj[bs hx[cr
白藍特	bd[po lj[cu te[nt
白簕	bd[po le[[
柏蕾薺屬	bd[ab lw[cy ji[cw uu[up
白櫟	bd[po li[ap
白裡翠灰蝶	bd[po li[ot cv[xw hv[uh dp[in
白粒腐敗病	bd[po li[ml fu[gk bd[bw bk[bh
白粒腐病	bd[po li[ml fu[gk bk[bh
白粒腐爛病	bd[po li[ml fu[gk lj[hb bk[bh
白櫟棘斑蚜	bd[po li[ap ji[cc bj[ww ya[iy
拜裡雙壁藻	bd[fh li[ot ul[yy bi[ut zc[cd
百里香	bd[eo li[ot xl[ho
百里香屬	bd[eo li[ot xl[ho uu[up
佰裡胸隔藻	bd[re li[ot xs[ob ge[eh zc[cd
白櫟癭蜂	bd[po li[ap yk[bb fg[iw
白簾	bd[po lm[xj
白蓮蒿	bd[po lm[ci hc[cw
白亮獨活	bd[po ll[wj du[qi ho[dq
百兩金	bd[eo ll[hk jb[rw
柏列胸隔藻	bd[ab lp[hd xs[ob ge[eh zc[cd
白鱗剌子莞	bd[po lb[ym la[hd zi[lh gr[cg
白鱗莎草	bd[po lb[ym so[cd cc[co
白龍藁本	bd[po ls[yp gc[ca bf[ah
白馬骨	bd[po ma[vv gu[ko
白麻屬	bd[po ma[ga uu[up
百脈根	bd[eo md[od gf[ag
百脈根屬	bd[eo md[od gf[ag uu[up
白脈葉蟬	bd[po md[od ye[ku ij[ib
白蔓陀羅	bd[po mj[co to[eg lo[sx
白茅	bd[po mc[cy
白毛蒿	bd[po mc[sv hc[cw
白毛盤菌	bd[po mc[sv pj[vm jy[cw
白茅屬	bd[po mc[cy uu[up
白毛四照花	bd[po mc[sv si[we vc[od hx[cr
白毛烏頭	bd[po mc[sv wu[bv tz[dd
白毛銀露梅	bd[po mc[sv yb[jg lu[yz mw[ar
白黴病	bd[po mw[yr bk[bh
白眉刺蛾	bd[po mw[mm ci[cd ee[ip
白螟繭蜂	bd[po mk[ig jm[ci fg[iw
白膜蒲公英	bd[po mo[oc pu[cd gs[bs yk[ck
柏木	bd[ab mu[ub
白木蘭	bd[po mu[ub lj[bs
柏木屬	bd[ab mu[ub uu[up
白木通	bd[po mu[ub ts[sz
白木烏桕	bd[po mu[ub wu[bv jq[aj
白囊袋蛾	bd[po nh[hk dd[ry ee[ip
白囊蓑蛾	bd[po nh[hk so[cw ee[ip
白牛槭	bd[po nq[pf qi[aw
白皮柳	bd[po pi[vp lq[ap
白皮松	bd[po pi[vp ss[ab
白皮雲杉	bd[po pi[vp yy[es uj[ap
白片盾蚧	bd[po pm[pu dy[pu jp[ir
白婆婆納	bd[po po[dn po[dn na[sk
白前	bd[po qm[bo
白扦	bd[po qm[fq
白千層	bd[po qm[pu cg[ue
白千層屬	bd[po qm[pu cg[ue uu[up
白扦雲杉	bd[po qm[fq yy[es uj[ap
百球藨草	bd[eo qq[wh bn[[ cc[co
白屈菜	bd[po qu[ui cd[ca
白屈菜屬	bd[po qu[ui cd[ca uu[up
白屈萊屬	bd[po qu[ui ld[cl uu[up
百日草	bd[eo ri[wh cc[co
百日紅絨蚧	bd[eo ri[wh hs[sg rs[sg jp[ir
百日菊	bd[eo ri[wh ju[cb
百日菊白絹病	bd[eo ri[wh ju[cb bd[po jr[sk bk[bh
百日菊腐黴病	bd[eo ri[wh ju[cb fu[gk mw[yr bk[bh
百日菊菌核病	bd[eo ri[wh ju[cb jy[cw he[aw bk[bh
百日菊屬	bd[eo ri[wh ju[cb uu[up
百日青	bd[eo ri[wh qk[fo
白朊	bd[po rr[oe
百蕊草	bd[eo rv[cx cc[co
百蕊草屬	bd[eo rv[cx cc[co uu[up
白三葉草	bd[po sj[hh ye[ku cc[co
白色體	bd[po se[db ti[ra
白山蒿	bd[po uj[uk hc[cw
白山蓼	bd[po uj[uk ln[cx
白山龍膽	bd[po uj[uk ls[yp dj[oo
白山毛茛	bd[po uj[uk mc[sv gf[cg
白山石防風	bd[po uj[uk ui[ek fh[ef fg[ji
白山薹草	bd[po uj[uk td[cu cc[co
白山烏頭	bd[po uj[uk wu[bv tz[dd
白山罌粟	bd[po uj[uk yk[bw su[xm
百山祖八角	bd[eo uj[uk zu[uq ba[pd jn[do
百山祖冷杉	bd[eo uj[uk zu[uq lg[dr uj[ap
百山祖玉山竹	bd[eo uj[uk zu[uq yu[wd uj[uk vu[rr
白舌紫菀	bd[po ue[qk zi[vy wj[cg
白腎錦夜蛾	bd[po uf[uo jb[jb ye[wr ee[ip
白腎裳夜蛾	bd[po uf[uo uh[xy ye[wr ee[ip
柏氏角管藻	bd[ab ui[pq jn[do gr[vg zc[cd
白石榴	bd[po ui[ek lq[ap
白氏濾器	bd[po ui[pq lv[dh qi[kq
白十五星瓢蟲	bd[po ui[hu wu[hu xk[op pn[xp is[ks
稗食蚜蠅	bd[hb ui[rl ya[iy yk[ik
白首烏	bd[po uz[be wu[bv
稗屬	bd[hb uu[up
白樹屬	bd[po uu[ay uu[up
白雙胞	bd[po ul[yy bc[ob
白睡蓮	bd[po uv[mi lm[ci
白水藤屬	bd[po uv[uu tg[co uu[up
白絲草屬	bd[po si[sh cc[co uu[up
稗絲核菌病	bd[hb si[sh he[aw jy[cw bk[bh
白穗花	bd[po sv[hh hx[cr
白穗花屬	bd[po sv[hh hx[cr uu[up
稗薹草	bd[hb td[cu cc[co
白檀	bd[po tj[aw
白棠子樹	bd[po th[xa zi[lh uu[ay
白條飛蝨	bd[po tn[wa fw[vp ui[vp
白條勾天牛	bd[po tn[wa gz[bs tm[hd nq[pf
白條青實蛾	bd[po tn[wa qk[fo ui[gd ee[ip
白條鰓角金龜	bd[po tn[wa sd[yt jn[do jb[rw gv[do
白條天牛	bd[po tn[wa tm[hd nq[pf
白條小卷蛾	bd[po tn[wa xn[ub jr[be ee[ip
白桐樹屬	bd[po ts[ak uu[ay uu[up
白頭韭	bd[po tz[dd jq[fh
白頭卵沫蟬	bd[po tz[dd lr[pe mo[dh ij[ib
白頭翁	bd[po tz[dd wg[bx
白頭翁屬	bd[po tz[dd wg[bx uu[up
白頭葉蟬	bd[po tz[dd ye[ku ij[ib
白網病	bd[po wh[ki bk[bh
白尾長足象	bd[po ww[um ih[ph zu[kv xl[dk
白尾尺蠖	bd[po ww[um ii[ud ho[ic
白紋病	bd[po wf[sw bk[bh
稗瘟病	bd[hb wf[bo bk[bh
白紋長蝽	bd[po wf[sw ih[ph iy[is
白紋毒蛾	bd[po wf[sw du[fm ee[ip
白吻短珍珠	bd[po wf[kb dr[ud vf[wr vu[wp
白紋飛蝨	bd[po wf[sw fw[vp ui[vp
白紋褐夜蛾	bd[po wf[sw he[yo ye[wr ee[ip
白紋黃尺蠖	bd[po wf[sw hl[gy ii[ud ho[ic
白紋灰蝶	bd[po wf[sw hv[uh dp[in
白紋金龜	bd[po wf[sw jb[rw gv[do
白紋孔夜蛾	bd[po wf[sw ks[zv ye[wr ee[ip
白紋盲蝽	bd[po wf[sw mh[wm iy[is
白紋虯髯客	bd[po wf[sw qq[iv rj[ik ke[gw
白紋天社蛾	bd[po wf[sw tm[hd ue[ut ee[ip
白紋羽病	bd[po wf[sw yu[xx bk[bh
白紋蛛甲	bd[po wf[sw vu[ip jx[ou
白莧	bd[po xm[cj
白蘚	bd[po xm[cy
白鮮屬	bd[po xm[yy uu[up
白香草木樨	bd[po xl[ho cc[co mu[ub xi[au
柏小卷蛾	bd[ab xn[ub jr[be ee[ip
白小葉蟬	bd[po xn[ub ye[ku ij[ib
柏小爪蟎	bd[ab xn[ub vc[pu mj[ic
白辛樹屬	bd[po xb[lu uu[ay uu[up
白星病	bd[po xk[op bk[bh
白星蝽	bd[po xk[op iy[is
白星俚夜蛾	bd[po xk[op li[ro ye[wr ee[ip
白星弄蝶	bd[po xk[op ns[wc dp[in
白星桃花金龜	bd[po xk[op tc[av hx[cr jb[rw gv[do
白星小皮蠹	bd[po xk[op xn[ub pi[vp du[hi
白星小夜蛾	bd[po xk[op xn[ub ye[wr ee[ip
白星異型	bd[po xk[op yi[kc xk[kt
白星圓盾蚧	bd[po xk[op yr[wk dy[pu jp[ir
白雄穗薹草	bd[po xs[uv sv[hh td[cu cc[co
白鏽病	bd[po xq[jh bk[bh
白顏樹屬	bd[po yj[ly uu[ay uu[up
白羊草	bd[po yh[bs cc[co
白楊尺蛾	bd[po yh[av ii[ud ee[ip
白楊麥蛾	bd[po yh[av md[fw ee[ip
白楊毛蚜	bd[po yh[av mc[sv ya[iy
白楊樹	bd[po yh[av uu[ay
白藥谷精草	bd[po yc[cs gu[bk jk[mf cc[co
白腰小天牛	bd[po yc[ox xn[ub tm[hd nq[pf
白野薄荷	bd[po ye[oy bo[cd he[cr
百葉草	bd[eo ye[ku cc[co
白葉藁本	bd[po ye[ku gc[ca bf[ah
白葉冷杉	bd[po ye[ku lg[dr uj[ap
白葉毛竹	bd[po ye[ku mc[sv vu[rr
白葉莓	bd[po ye[ku mw[cr
白葉藤屬	bd[po ye[ku tg[co uu[up
白葉委陵菜	bd[po ye[ku ww[hn lk[et cd[ca
白垔	bd[po yb[[
白英	bd[po yk[ck
白纓絡	bd[po yk[sb lo[sw
白穎薹草	bd[po yk[by td[cu cc[co
白榆	bd[po yu[ar
白玉蘭	bd[po yu[wd lj[bs
白羽扇豆	bd[po yu[xx uj[hx dz[hk
白玉山薔薇	bd[po yu[wd uj[uk ql[ct ww[cr
白圓斑病	bd[po yr[wk bj[ww bk[bh
白緣長蝽	bd[po yr[sv ih[ph iy[is
白緣蒲公英	bd[po yr[sv pu[cd gs[bs yk[ck
白雲老虎	bd[po yy[es lc[tb hu[hj
白雲蟻蛉	bd[po yy[es yi[id lk[ir
白藻病	bd[po zc[cd bk[bh
白長春花	bd[po vh[ph iy[so hx[cr
白珍珠大鬍子	bd[po vf[wr vu[wp da[hr hu[go zi[lh
白珍珠虯髯客	bd[po vf[wr vu[wp qq[iv rj[ik ke[gw
白芷	bd[po vi[cv
百枝蓮	bd[eo vi[au lm[ci
百治磷	bd[eo vi[ds lb[em
白芷象甲	bd[po vi[cv xl[dk jx[ou
白舟蛾	bd[po vz[pk ee[ip
白朮	bd[po vu[ad
白竹皓盾蚧	bd[po vu[rr hc[bn dy[pu jp[ir
白珠樹屬	bd[po vu[wp uu[ay uu[up
稗子	bd[hb zi[lh
白籽車前	bd[po zi[mz ie[qu qm[bo
百子蓮	bd[eo zi[lh lm[ci
百子蓮屬	bd[eo zi[lh lm[ci uu[up
百子蓮疫病	bd[eo zi[lh lm[ci yi[bj bk[bh
斑豹鼠	bj[ww bc[pb uu[jv
斑背鼠	bj[ww bw[bo uu[jv
半邊蓮	bj[bf bm[lz lm[ci
半邊蓮科	bj[bf bm[lz lm[ci ke[hd
半邊蓮屬	bj[bf bm[lz lm[ci uu[up
斑駁蛺蝶	bj[ww bo[mi jx[ij dp[in
斑步甲	bj[ww bu[vu jx[ou
斑草盲蝽	bj[ww cc[co mh[wm iy[is
斑翅二室葉蟬	bj[ww ii[ux er[hh ui[gh ye[ku ij[ib
斑翅花葉蟬	bj[ww ii[ux hx[cr ye[ku ij[ib
半持久傳播	bj[bf ii[ft jq[xd ir[re bo[fp
斑翅菱蠟蟬	bj[ww ii[ux lk[ct la[ig ij[ib
斑翅小葉蟬	bj[ww ii[ux xn[ub ye[ku ij[ib
斑翅夜蛾	bj[ww ii[ux ye[wr ee[ip
半齒舟蛾	bj[bf ii[vr vz[pk ee[ip
斑船象	bj[ww ir[vj xl[dk
伴船舟形藻	bj[rb ir[vj vz[pk xk[kp zc[cd
斑窗蛾	bj[ww il[xp ee[ip
斑脣卷瓣蘭	bj[ww iy[ik jr[be bj[lp lj[bs
斑帶	bj[ww dd[cj
半擔子菌	bj[bf dj[fo zi[lh jy[cw
半島鱗毛蕨	bj[bf dc[nu lb[ym mc[sv jt[ci
板凳果屬	bj[ap dg[dj go[oa uu[up
斑地錦	bj[ww di[ty jb[jb
斑點豹	bj[ww dm[bd bc[pb
斑點病	bj[ww dm[bd bk[bh
斑點杆線藻	bj[ww dm[bd gj[ag xm[sj zc[cd
斑點海雹菜	bj[ww dm[bd hd[dr bc[yb cd[ca
斑點海鏈藻	bj[ww dm[bd hd[dr lm[ji zc[cd
斑點虎耳草	bj[ww dm[bd hu[hj er[hu cc[co
斑點老虎	bj[ww dm[bd lc[tb hu[hj
斑點美洲豹	bj[ww dm[bd mw[bw vz[dd bc[pb
斑點弄蝶	bj[ww dm[bd ns[wc dp[in
斑點鼠	bj[ww dm[bd uu[jv
斑點苔草	bj[ww dm[bd td[cs cc[co
斑點細菌病	bj[ww dm[bd xi[st jy[cw bk[bh
斑點眼紋藻	bj[ww dm[bd yj[mg wf[sw zc[cd
半點魚	bj[bf dm[bd yu[dt
斑點圓篩藻	bj[ww dm[bd yr[wk ud[vu zc[cd
斑點褶絲藻	bj[ww dm[bd ve[yx si[sh zc[cd
斑點舟形藻	bj[ww dm[bd vz[pk xk[kp zc[cd
半楓荷屬	bj[bf fg[af he[cr uu[up
半豐滿鞘絲藻	bj[bf fg[su mj[dc qn[gx si[sh zc[cd
斑腐病	bj[ww fu[gk bk[bh
絆根草	bj[sb gf[ag cc[co
板谷夜蛾	bj[ap gu[bk ye[wr ee[ip
半管藻屬	bj[bf gr[vg zc[cd uu[up
斑花敗醬	bj[ww hx[cr bd[bw jl[dy
斑花杓蘭	bj[ww hx[cr bn[ab lj[bs
斑花美人蕉	bj[ww hx[cr mw[bw rf[pd jn[cv
半環片	bj[bf hr[wb pm[pu
斑喙麗金龜	bj[ww hv[kv li[hk jb[rw gv[do
半灰天牛	bj[bf hv[uh tm[hd nq[pf
半脊薺屬	bj[bf ji[uo ji[cw uu[up
半寄生	bj[bf ji[gd ug[pf
斑角蝽	bj[ww jn[do iy[is
斑角蔗蝗	bj[ww jn[do ve[cg hl[ib
斑節鰉魚	bj[ww jp[ce hl[yb yu[dt
斑節泥鰍	bj[ww jp[ce ni[du qq[yh
斑鳩菊屬	bj[ww jq[jn ju[cb uu[up
班鳩窩	bj[wd jq[jn wo[xk
半抗原簇	bj[bf kh[fw yr[ib cu[vf
半殼孢	bj[bf ke[ug bc[zb
班克松	bj[wd ke[ge ss[ab
斑孔圓篩藻	bj[ww ks[zv yr[wk ud[vu zc[cd
半枯病	bj[bf ku[ag bk[bh
斑枯病	bj[ww ku[ag bk[bh
斑苦竹	bj[ww ku[cg vu[rr
板藍屬	bj[ap lj[cu uu[up
瓣鱗花科	bj[lp lb[ym hx[cr ke[hd
瓣鱗花屬	bj[lp lb[ym hx[cr uu[up
斑龍芋屬	bj[ww ls[yp yu[ce uu[up
半裸缸	bj[bf lo[yo gh[wg
斑馬小精靈	bj[ww ma[vv xn[ub jk[mf lk[xh
斑脈葉蟬	bj[ww md[od ye[ku ij[ib
斑茅	bj[ww mc[cy
斑貓爾菊	bj[ww mc[qc er[dx ju[cb
瓣門	bj[lp mf[du
斑膜芹	bj[ww mo[oc qb[cj
斑膜芹屬	bj[ww mo[oc qb[cj uu[up
半目大蠶蛾	bj[bf mu[we da[hr cj[ti ee[ip
半盤藻屬	bj[bf pj[vm zc[cd uu[up
斑盤藻屬	bj[ww pj[vm zc[cd uu[up
瓣器	bj[lp qi[kq
斑鰭鼠	bj[ww qi[yt uu[jv
斑鞘豆葉甲	bj[ww qn[gx dz[hk ye[ku jx[ou
半球盔蚧	bj[bf qq[wh kv[um jp[ir
半球竹鏈蚧	bj[bf qq[wh vu[rr lm[ji jp[ir
半日花科	bj[bf ri[wh hx[cr ke[hd
半日花屬	bj[bf ri[wh hx[cr uu[up
瓣蕊唐松草	bj[lp rv[cx th[gx ss[ab cc[co
半十字舟形藻	bj[bf ui[hu zi[gz vz[pk xk[kp zc[cd
半數感染量	bj[bf uu[mw gj[wx rj[da ll[oh
半數免疫量	bj[bf uu[mw mm[dk yi[bj ll[oh
半數致死濃度	bj[bf uu[mw vi[hw si[hx ns[dg du[gn
半數致死時間	bj[bf uu[mw vi[hw si[hx ui[oc jm[mo
半蒴苣苔	bj[bf uo[cn ju[ck td[cs
半蒴苣苔屬	bj[bf uo[cn ju[ck td[cs uu[up
伴隨病毒	bj[rb sv[eu bk[bh du[fm
斑條藻屬	bj[ww tn[wa zc[cd uu[up
斑紋病	bj[ww wf[sw bk[bh
斑紋鈕蟲責	bj[ww wf[sw nq[ji is[ks ze[fb
板屋白蠟蚧	bj[ap wu[uh bd[po la[ig jp[ir
斑蟋	bj[ww xi[ip
半夏	bj[bf xx[ew
半夏屬	bj[bf xx[ew uu[up
半線魚	bj[bf xm[sj yu[dt
斑須蝽	bj[ww xu[py iy[is
半鹽生單岐藻	bj[bf yj[tm ug[pf dj[bo qi[uu zc[cd
斑葉病	bj[ww ye[ku bk[bh
半葉測定	bj[bf ye[ku ce[db dk[gp
斑葉蟬	bj[ww ye[ku ij[ib
斑葉稠李	bj[ww ye[ku iz[hk li[az
斑葉地錦	bj[ww ye[ku di[ty jb[jb
斑葉地錦草	bj[ww ye[ku di[ty jb[jb cc[co
斑葉兜被蘭	bj[ww ye[ku dz[pe bw[yp lj[bs
半葉法	bj[bf ye[ku fa[dt
斑葉鶴頂蘭	bj[ww ye[ku he[gn dk[dy lj[bs
斑葉堇菜	bj[ww ye[ku jb[nk cd[ca
斑葉蘭	bj[ww ye[ku lj[bs
斑葉蘭屬	bj[ww ye[ku lj[bs uu[up
斑葉蒲公英	bj[ww ye[ku pu[cd gs[bs yk[ck
斑葉珊瑚	bj[ww ye[ku uj[wk hu[wg
斑葉炭瘟病	bj[ww ye[ku tj[uu wf[bo bk[bh
斑葉異藥花	bj[ww ye[ku yi[kc yc[cs hx[cr
斑葉豬牙花	bj[ww ye[ku vu[qt ya[hv hx[cr
瓣疫病	bj[lp yi[bj bk[bh
半月蓮	bj[bf yt[ke lm[ci
半月體	bj[bf yt[ke ti[ra
斑疹病	bj[ww vf[br bk[bh
半知菌類	bj[bf vi[uk jy[cw lw[md
半支蓮	bj[bf vi[uy lm[ci
