哀而不傷	ai[wk er[ek bu[eu uh[rr
微生畝謂孔子曰	ww[ru ug[pf mu[wt ww[yt ks[zv zi[lh yt[wh
畏聖人之言	ww[th ug[yt rf[pd vi[dv yj[we
畏天命	ww[th tm[hd mk[rh
唯天為大	ww[kv tm[hd ww[dl da[hr
為同姓	ww[dl ts[kh xk[np
巍巍乎	ww[uh ww[uh hu[pb
巍巍乎其有成功也	ww[uh ww[uh hu[pb qi[cb yz[uo ig[wv gs[gl ye[vu
未聞好學者也	ww[ha wf[me hc[nz xt[xz ve[to ye[vu
唯我與爾有是夫	ww[kv wo[pf yu[hv er[dx yz[uo ui[op fu[er
謂武	ww[yt wu[hv
未信	ww[ha xb[ry
危行言孫	ww[de xk[rh yj[we sy[zx
危言危行	ww[de yj[we ww[de xk[rh
唯堯則之	ww[kv yc[qh ze[bd vi[dv
謂也	ww[yt ye[vu
未也	ww[ha ye[vu
畏也已	ww[th ye[vu yi[kv
未有小人而仁者也	ww[ha yz[uo xn[ub rf[pd er[ek rf[re ve[to ye[vu
謂虞仲夷逸	ww[yt yu[hk vs[rv yi[hg yi[dz
為政第二	ww[dl vg[hw di[vg er[hh
為政以德	ww[dl vg[hw yi[sr de[ru
為之	ww[dl vi[dv
未之	ww[ha vi[dv
為之難	ww[dl vi[dv nj[yv
未知生	ww[ha vi[uk ug[pf
未之思也	ww[ha vi[dv si[tx ye[vu
謂之吳孟子	ww[yt vi[dv wu[kt mg[zm zi[lh
謂之有司	ww[yt vi[dv yz[uo si[vh
未之有也	ww[ha vi[dv yz[uo ye[vu
為仲由	ww[dl vs[rv yz[ou
未墜於地	ww[ha vv[et yu[eu di[ty
唯子出	ww[kv zi[lh iu[ck
微子第十八	ww[ru zi[lh di[vg ui[hu ba[pd
微子去之	ww[ru zi[lh qu[ts vi[dv
未足與議也	ww[ha zu[kv yu[hv yi[yd ye[vu
文不在茲乎	wf[wi bu[eu zd[ut zi[by hu[pb
溫故而知新	wf[do gu[gw er[ek vi[uk xb[lj
問管仲	wf[mk gr[vg vs[rv
聞樂不樂	wf[me le[px bu[eu le[px
聞禮	wf[me li[uv
問仁	wf[mk rf[re
問人於他邦	wf[mk rf[pd yu[eu ta[ry bh[fe
聞韶	wf[me uc[ld
文勝質則史	wf[wi ug[op vi[pu ze[bd ui[ki
聞詩	wf[me ui[yt
聞斯二者	wf[me si[qj er[hh ve[to
聞斯行之	wf[me si[qj xk[rh vi[dv
聞斯行諸	wf[me si[qj xk[rh vu[yt
文王既沒	wf[wi wh[su ji[gj mw[dj
文武之道	wf[wi wu[hv vi[dv dc[bz
文獻不足故也	wf[wi xm[uq bu[eu zu[kv gu[gw ye[vu
聞絃歌之聲	wf[me xm[gw ge[kd vi[dv ug[um
文行忠信	wf[wi xk[rh vs[vx xb[ry
聞義不能徙	wf[me yi[di bu[eu ng[sb xi[rv
問一得三	wf[mk yi[hh de[ro sj[hh
文猶質也	wf[wi yz[qy vi[pu ye[vu
問於桀溺	wf[mk yu[eu jp[xa ni[dg
問於孔子	wf[mk yu[eu ks[zv zi[lh
問於曾子	wf[mk yu[eu zg[bo zi[lh
問政	wf[mk vg[hw
問知	wf[mk vi[uk
文質彬彬	wf[wi vi[pu bb[aa bb[aa
文之以禮樂	wf[wi vi[dv yi[sr li[uv yt[px
問子西	wf[mk zi[lh xi[hk
我愛其禮	wo[pf ai[au qi[cb li[uv
我待賈者也	wo[pf dd[rt jx[xb ve[to ye[vu
我獨亡	wo[pf du[qi wh[wv
我對曰	wo[pf dv[yc yt[wh
我非生而知之者	wo[pf fw[su ug[pf er[ek vi[uk vi[dv ve[to
我叩其兩端而竭	wo[pf kz[ke qi[cb ll[hk dr[lu er[ek jp[lo
我未見好仁者	wo[pf ww[ha jm[ke hc[nz rf[re ve[to
我未見力不足者	wo[pf ww[ha jm[ke li[vp bu[eu zu[kv ve[to
我未之見也	wo[pf ww[ha vi[dv jm[ke ye[vu
我無能焉	wo[pf wu[ee ng[sb yj[hh
我無是也	wo[pf wu[ee ui[op ye[vu
我欲仁	wo[pf yu[bd rf[re
我則異於是	wo[pf ze[bd yi[kc yu[eu ui[op
我之不賢與	wo[pf vi[dv bu[eu xm[ub yu[hv
我之大賢與	wo[pf vi[dv da[hr xm[ub yu[hv
毋必	wu[vv bi[xp
吾必謂之學矣	wu[wk bi[xp ww[yt vi[dv xt[xz yi[su
吾不如老農	wu[wk bu[eu ru[nk lc[tb ns[gy
吾不如老圃	wu[wk bu[eu ru[nk lc[tb pu[wf
吾不試	wu[wk bu[eu ui[yq
吾不徒行以為之槨	wu[wk bu[eu tu[rz xk[rh yi[sr ww[dl vi[dv go[aw
吾不信也	wu[wk bu[eu xb[ry ye[vu
吾不欲觀之矣	wu[wk bu[eu yu[bd gr[yj vi[dv yi[su
吾不與祭	wu[wk bu[eu yu[hv ji[xe
吾不與也	wu[wk bu[eu yu[hv ye[vu
吾不知之矣	wu[wk bu[eu vi[uk vi[dv yi[su
吾嘗終日不食	wu[wk ih[xe vs[sw ri[wh bu[eu ui[rl
無臣而為有	wu[ee if[ku er[ek ww[dl yz[uo
吾從下	wu[wk cs[rr xx[hb
吾從眾	wu[wk cs[rr vs[rr
吾從周	wu[wk cs[rr vz[kt
吾黨	wu[wk dh[xk
吾黨有直躬者	wu[wk dh[xk yz[uo vi[uj gs[ug ve[to
無道	wu[ee dc[bz
吾道一以貫之	wu[wk dc[bz yi[hh yi[sr gr[mb vi[dv
吾得而食	wu[wk de[ro er[ek ui[rl
無得而逾焉	wu[ee de[ro er[ek yu[rz yj[hh
無惡也	wu[ee ee[hx ye[vu
吾二臣者皆不欲也	wu[wk er[hh if[ku ve[to jp[bb bu[eu yu[bd ye[vu
舞放鄭聲	wu[rx fh[fw vg[be ug[um
吾非斯人之徒與而誰與	wu[wk fw[su si[qj rf[pd vi[dv tu[rz yu[hv er[ek uv[yv yu[hv
無敢慢	wu[ee gj[vw mj[xo
勿攻人之惡	wu[bp gs[gw rf[pd vi[dv ee[hx
毋固	wu[vv gu[wg
五穀不分	wu[hu gu[bk bu[eu ff[bd
吾何以觀之哉	wu[wk he[rk yi[sr gr[yj vi[dv zd[tk
吾何執	wu[wk he[rk vi[fj
嗚呼	wu[kw hu[kp
吾見蹈而死者矣	wu[wk jm[ke dc[za er[ek si[hx ve[to yi[su
吾見其進也	wu[wk jm[ke qi[cb jb[ez ye[vu
吾見其居於位也	wu[wk jm[ke qi[cb ju[ug yu[eu ww[rl ye[vu
吾見其人矣	wu[wk jm[ke qi[cb rf[pd yi[su
無見小利	wu[ee jm[ke xn[ub li[hd
吾將仕矣	wu[wk jl[dx ui[ru yi[su
吾將問之	wu[wk jl[dx wf[mk vi[dv
惡居下流而訕	wu[hx ju[ug xx[hb lq[dw er[ek uj[yu
無倦	wu[ee jr[rb
無可無不可	wu[ee ke[dk wu[ee bu[eu ke[dk
吾恐季孫之憂	wu[wk ks[gx ji[hz sy[zx vi[dv yz[xy
吾老矣	wu[wk lc[tb yi[su
吾力	wu[wk li[vp
巫馬期以告	wu[gr ma[vv qi[qo yi[sr gc[nk
務民之義	wu[wl mb[kv vi[dv yi[di
吾末如之何也已矣	wu[wk mo[ha ru[nk vi[dv he[rk ye[vu yi[kv yi[su
無莫也	wu[ee mo[co ye[vu
無乃大簡乎	wu[ee nd[vp da[hr jm[vm hu[pb
無乃為佞乎	wu[ee nd[vp ww[dl nk[re hu[pb
吾能言之	wu[wk ng[sb yj[we vi[dv
無寧死於二三子之手乎	wu[ee nk[gd si[hx yu[eu er[hh sj[hh zi[lh vi[dv uz[su hu[pb
吾豈	wu[wk qi[uk
吾其被髮左衽矣	wu[wk qi[cb pi[yp fa[vy zo[ug rf[yq yi[su
吾其為東周乎	wu[wk qi[cb ww[dl ds[qx vz[kt hu[pb
勿欺也	wu[bp qi[qd ye[vu
吾其與聞之	wu[wk qi[cb yu[hv wf[me vi[dv
無求備於一人	wu[ee qq[hu bw[wt yu[eu yi[hh rf[pd
無求生以害仁	wu[ee qq[hu ug[pf yi[sr hd[gf rf[re
吾日三省吾身	wu[wk ri[wh sj[hh xk[xm wu[wk uf[pu
武入於漢	wu[hv ru[pd yu[eu hj[dy
吾少也賤	wu[wk uc[xp ye[vu jm[bj
侮聖人之言	wu[rr ug[yt rf[pd vi[dv yj[we
五十而知天命	wu[hu ui[hu er[ek vi[uk tm[hd mk[rh
五世希不失矣	wu[hu ui[nv xi[iu bu[eu ui[pe yi[su
無適也	wu[ee ui[qz ye[vu
五十以學易	wu[hu ui[hu yi[sr xt[xz yi[ob
吾十有五而志於學	wu[wk ui[hu yz[uo wu[hu er[ek vi[ux yu[eu xt[xz
勿施於人	wu[bp ui[fr yu[eu rf[pd
吾誰欺	wu[wk uv[yv qi[qd
無所不佩	wu[ee so[pj bu[eu pw[rj
無所禱也	wu[ee so[pj dc[uf ye[vu
無所苟而已	wu[ee so[pj gz[cb er[ek yi[kv
無所歸	wu[ee so[pj gv[ux
無所用心	wu[ee so[pj ys[ou xb[dv
武王曰	wu[hv wh[su yt[wh
無違	wu[ee ww[wz
吾未嘗不得見也	wu[wk ww[ha ih[xe bu[eu de[ro jm[ke ye[vu
吾未嘗無誨焉	wu[wk ww[ha ih[xe wu[ee hv[yr yj[hh
無為而治者	wu[ee ww[dl er[ek vi[ds ve[to
吾未見好德如好色者也	wu[wk ww[ha jm[ke hc[nz de[ru ru[nk hc[nz se[db ve[to ye[vu
無為小人儒	wu[ee ww[dl xn[ub rf[pd ru[ry
吾聞君子不黨	wu[wk wf[me jy[xk zi[lh bu[eu dh[xk
吾聞其語矣	wu[wk wf[me qi[cb yu[yw yi[su
吾聞之也	wu[wk wf[me vi[dv ye[vu
吾聞諸夫子	wu[wk wf[me vu[yt fu[er zi[lh
毋我	wu[vv wo[pf
吾無間然矣	wu[wk wu[ee jm[mo rj[xd yi[su
吾無行而不與二三子者	wu[wk wu[ee xk[rh er[ek bu[eu yu[hv er[hh sj[hh zi[lh ve[to
毋吾以也	wu[vv wu[wk yi[sr ye[vu
吾無隱乎爾	wu[wk wu[ee yb[ed hu[pb er[dx
無小大	wu[ee xn[ub da[hr
無益	wu[ee yi[bm
毋意	wu[vv yi[lx
無以立	wu[ee yi[sr li[lh
無以立也	wu[ee yi[sr li[lh ye[vu
吾以女為死矣	wu[wk yi[sr nv[vp ww[dl si[hx yi[su
無以尚之	wu[ee yi[sr uh[xk vi[dv
無以萬方	wu[ee yi[sr wj[hv fh[dw
無以為君子也	wu[ee yi[sr ww[dl jy[xk zi[lh ye[vu
無以為也	wu[ee yi[sr ww[dl ye[vu
吾亦為之	wu[wk yi[wy ww[dl vi[dv
無以言	wu[ee yi[sr yj[we
吾已矣夫	wu[wk yi[kv yi[su fu[er
無以知人也	wu[ee yi[sr vi[uk rf[pd ye[vu
吾以子為異之問	wu[wk yi[sr zi[lh ww[dl yi[kc vi[dv wf[mk
無勇也	wu[ee ys[sl ye[vu
無友不如己者	wu[ee yz[uy bu[eu ru[nk ji[kv ve[to
毋友不如己者	wu[vv yz[uy bu[eu ru[nk ji[kv ve[to
吾猶不足	wu[wk yz[qy bu[eu zu[kv
吾友嘗從事於斯矣	wu[wk yz[uy ih[xe cs[rr ui[hk yu[eu si[qj yi[su
吾猶及史之闕文也	wu[wk yz[qy ji[pv ui[ki vi[dv qt[mn wf[wi ye[vu
吾猶人也	wu[wk yz[qy rf[pd ye[vu
吾友張也	wu[wk yz[uy vh[gi ye[vu
吾有知乎哉	wu[wk yz[uo vi[uk hu[pb zd[tk
吾與點也	wu[wk yu[hv dm[bd ye[vu
吾與回言終日	wu[wk yu[hv hv[wk yj[we vs[sw ri[wh
無慾速	wu[ee yu[bd su[hz
吾知免夫小子	wu[wk vi[uk mm[dk fu[er xn[ub zi[lh
吾止也	wu[wk vi[uh ye[vu
無知也	wu[ee vi[uk ye[vu
吾之於人也	wu[wk vi[dv yu[eu rf[pd ye[vu
吾執御矣	wu[wk vi[fj yu[rw yi[su
毋自辱焉	wu[vv zi[pm ru[ic yj[hh
吾自衛反魯	wu[wk zi[pm ww[eh fj[py lu[yo
希不失矣	xi[iu bu[eu ui[pe yi[su
席不正	xi[gn bu[eu vg[hv
奚而不喪	xi[ay er[ek bu[eu sh[ty
惜乎	xi[xg hu[pb
奚其喪	xi[ay qi[cb sh[ty
奚其為為政	xi[ay qi[cb ww[dl ww[dl vg[hw
奚其正	xi[ay qi[cb vg[hv
奚取於三家之堂	xi[ay qu[ey yu[eu sj[hh jx[gu vi[dv th[xt
翕如也	xi[rx ru[nk ye[vu
夕死可矣	xi[xd si[hx ke[dk yi[su
奚為於丘之門	xi[ay ww[dl yu[eu qq[jh vi[dv mf[du
習相遠也	xi[vd xl[am yr[ez ye[vu
席也	xi[gn ye[vu
徙義	xi[rv yi[di
昔者	xi[go ve[to
昔者先王以為東蒙主	xi[go ve[to xm[ne wh[su yi[sr ww[dl ds[qx mg[ch vu[dw
昔者偃也聞諸夫子曰	xi[go ve[to yj[rk ye[vu wf[me vu[yt fu[er zi[lh yt[wh
昔者由也聞諸夫子曰	xi[go ve[to yz[ou ye[vu wf[me vu[yt fu[er zi[lh yt[wh
奚自	xi[ay zi[pm
狎大人	xx[qo da[hr rf[pd
下而飲	xx[hb er[ek yb[ud
夏后氏以松	xx[ew hz[pk ui[pq yi[sr ss[ab
夏禮	xx[ew li[uv
下如授	xx[hb ru[nk uz[fa
下學而上達	xx[hb xt[xz er[ek uh[bh da[dz
先飯	xm[ne fj[up
賢乎哉	xm[ub hu[pb zd[tk
先進第十一	xm[ne jb[ez di[vg ui[hu yi[hh
先進於禮樂	xm[ne jb[ez yu[eu li[uv yt[px
先生並行也	xm[ne ug[pf bk[bk xk[rh ye[vu
先生饌	xm[ne ug[pf vr[uk
先事後得	xm[ne ui[hk hz[pk de[ro
先王之道斯為美	xm[ne wh[su vi[dv dc[bz si[qj ww[dl mw[bw
憲問恥	xm[gn wf[mk ii[ev
憲問第十四	xm[gn wf[mk di[vg ui[hu si[we
賢賢易色	xm[ub xm[ub yi[ob se[db
先行其言	xm[ne xk[rh qi[cb yj[we
鮮矣	xm[yy yi[su
鮮矣仁	xm[yy yi[su rf[re
先有司	xm[ne yz[uo si[vh
賢哉回也	xm[ub zd[tk hv[wk ye[vu
賢者辟世	xm[ub ve[to pi[ul ui[nv
賢者識其大者	xm[ub ve[to ui[yk qi[cb da[hr ve[to
先之勞之	xm[ne vi[dv lc[cl vi[dv
鄉黨稱弟焉	xl[sp dh[xk ig[hd di[bg yj[hh
鄉黨第十	xl[sp dh[xk di[vg ui[hu
翔而後集	xl[yx er[ek hz[pk ji[va
相夫子	xl[am fu[er zi[lh
享禮	xl[wz li[uv
鄉人皆惡之	xl[sp rf[pd jp[bb ee[hx vi[dv
鄉人皆好之	xl[sp rf[pd jp[bb hc[nz vi[dv
鄉人儺	xl[sp rf[pd no[ry
鄉人飲酒	xl[sp rf[pd yb[ud jq[dy
相維闢公	xl[am ww[sv pi[ul gs[bs
鄉也吾見於夫子而問知	xl[sp ye[vu wu[wk jm[ke yu[eu fu[er zi[lh er[ek wf[mk vi[uk
鄉原	xl[sp yr[ib
小不忍則亂大謀	xn[ub bu[eu rf[dx ze[bd lr[qv da[hr mz[yg
小車無軏	xn[ub ie[qu wu[ee yt[[
孝慈	xn[tz ci[bx
小大由之	xn[ub da[hr yz[ou vi[dv
小德出入可也	xn[ub de[ru iu[ck ru[pd ke[dk ye[vu
孝弟也者	xn[tz di[bg ye[vu ve[to
孝乎	xn[tz hu[pb
孝乎惟孝	xn[tz hu[pb ww[xv xn[tz
小人比而不周	xn[ub rf[pd bi[bb er[ek bu[eu vz[kt
小人不可大受	xn[ub rf[pd bu[eu ke[dk da[hr uz[ay
小人不知天命而不畏也	xn[ub rf[pd bu[eu vi[uk tm[hd mk[rh er[ek bu[eu ww[th ye[vu
小人長慼慼	xn[ub rf[pd ih[ph qi[wu qi[wu
小人反是	xn[ub rf[pd fj[py ui[op
小人懷惠	xn[ub rf[pd hk[xb hv[hx
小人懷土	xn[ub rf[pd hk[xb tu[uh
小人驕而不泰	xn[ub rf[pd jn[mp er[ek bu[eu td[su
小人難事而易說也	xn[ub rf[pd nj[yv ui[hk er[ek yi[ob uo[yb ye[vu
小人窮斯濫矣	xn[ub rf[pd qs[xl si[qj lj[du yi[su
小人求諸人	xn[ub rf[pd qq[hu vu[yt rf[pd
小人同而不和	xn[ub rf[pd ts[kh er[ek bu[eu he[hk
小人下達	xn[ub rf[pd xx[hb da[dz
小人學道則易使	xn[ub rf[pd xt[xz dc[bz ze[bd yi[ob ui[rh
小人有勇而無義為盜	xn[ub rf[pd yz[uo ys[sl er[ek wu[ee yi[di ww[dl dc[dm
小人喻於利	xn[ub rf[pd yu[kr yu[eu li[hd
小人哉	xn[ub rf[pd zd[tk
小人之德草	xn[ub rf[pd vi[dv de[ru cc[co
小人之過也	xn[ub rf[pd vi[dv go[cz ye[vu
孝哉	xn[tz zd[tk
小子何莫學夫詩	xn[ub zi[lh he[rk mo[co xt[xz fu[er ui[yt
小子鳴鼓而	xn[ub zi[lh mk[kn gu[uu er[ek
褻裘長	xp[wf qq[hy ih[ph
信道不篤	xb[ry dc[bz bu[eu du[vm
信而好古	xb[ry er[ek hc[nz gu[uk
信而後諫	xb[ry er[ek hz[pk jm[yh
新谷既升	xb[lj gu[bk ji[gj ug[pc
信乎	xb[ry hu[pb
信近於義	xb[ry jb[jz yu[eu yi[di
信如君不君臣不臣父不父子不子	xb[ry ru[nk jy[xk bu[eu jy[xk if[ku bu[eu if[ku fu[bi bu[eu fu[bi zi[lh dy[eu zi[lh
信以成之	xb[ry yi[sr ig[wv vi[dv
信則民任焉	xb[ry ze[bd mb[kv rf[rq yj[hh
信則人任焉	xb[ry ze[bd rf[pd rf[rq yj[hh
行必果	xk[rh bi[xp go[oa
行不篤	xk[rh bu[eu du[vm
行不履閾	xk[rh bu[eu lv[ur yu[mg
行不由徑	xk[rh bu[eu yz[ou jk[rs
行篤敬	xk[rh du[vm jk[cw
刑罰不中	xk[kd fa[sy bu[eu vs[ku
行寡悔	xk[rh gx[gf hv[xr
行己有恥	xk[rh ji[kv yz[uo ii[ev
興滅國	xk[xb mp[hh go[ww
行其義也	xk[rh qi[cb yi[di ye[vu
行人子羽修飾之	xk[rh rf[pd zi[lh yu[xx xq[ru ui[ur vi[dv
行夏之時	xk[rh xx[ew vi[dv ui[oc
性相近也	xk[xp xl[am jb[jz ye[vu
行行如也	xk[rh xk[rh ru[nk ye[vu
行義以達其道	xk[rh yi[di yi[sr da[dz qi[cb dc[bz
行有餘力	xk[rh yz[uo yu[ur li[vp
興於詩	xk[xb yu[eu ui[yt
行之以忠	xk[rh vi[dv yi[sr vs[vx
行中慮	xk[rh vs[ku lv[hx
兄弟也	xs[ke di[bg ye[vu
兄弟怡怡	xs[ke di[bg yi[xs yi[xs
凶服者式之	xs[ik fu[oe ve[to ui[qg vi[dv
秀而不實者有矣夫	xq[hn er[ek bu[eu ui[gd ve[to yz[uo yi[su fu[er
修廢官	xq[ru fw[gv gr[gu
修己以安百姓	xq[ru ji[kv yi[sr an[gn bd[eo xk[np
修己以安人	xq[ru ji[kv yi[sr an[gn rf[pd
修己以敬	xq[ru ji[kv yi[sr jk[cw
修慝	xq[ru te[kx
虛而為盈	xu[hy er[ek ww[dl yk[nm
選於眾	xr[nz yu[eu vs[rr
學而不思	xt[xz er[ek bu[eu si[tx
學而不厭	xt[xz er[ek bu[eu yj[iq
學而第一	xt[xz er[ek di[vg yi[hh
學而時習之	xt[xz er[ek ui[oc xi[vd vi[dv
學而優則仕	xt[xz er[ek yz[ry ze[bd ui[ru
學而知之者次也	xt[xz er[ek vi[uk vi[dv ve[to ci[dd ye[vu
學禮乎	xt[xz li[uv hu[pb
血氣方剛	xt[pm qi[rh fh[dw gh[kd
血氣既衰	xt[pm qi[rh ji[gj uk[wk
血氣未定	xt[pm qi[rh ww[ha dk[gp
學如不及	xt[xz ru[nk bu[eu ji[pv
學詩乎	xt[xz ui[yt hu[pb
學也	xt[xz ye[vu
學則不固	xt[xz ze[bd bu[eu gu[wg
學之不講	xt[xz vi[dv bu[eu jl[ye
迅雷風烈必變	xy[vz lw[yt fg[ji lp[hd bi[xp bm[yy
恂恂如也	xy[xb xy[xb ru[nk ye[vu
巽與之言	xy[kg yu[hv vi[dv yj[we
亞飯幹適楚	ya[hy fj[up gj[hu ui[qz iu[ap
雅頌各得其所	ya[yv ss[by ge[wk de[ro qi[cb so[pj
言必信	yj[we bi[xp xb[ry
言必有中	yj[we bi[xp yz[uo vs[ku
言不及義	yj[we bu[eu ji[pv yi[di
言不可不慎也夫子之不可及	yj[we bu[eu ke[dk bu[eu uf[xu ye[vu fu[er zi[lh vi[dv bu[eu ke[dk ji[pv
言不可以若是其幾也	yj[we bu[eu ke[dk yi[sr ro[cu ui[op qi[cb ji[pv ye[vu
言不順	yj[we bu[eu uy[iy
言不忠信	yj[we bu[eu vs[vx xb[ry
焉得儉	yj[hh de[ro jm[rr
焉得知	yj[hh de[ro vi[uk
言而有信	yj[we er[ek yz[uo xb[ry
言寡尤	yj[we gx[gf yz[yd
言乎	yj[we hu[pb
言及之而不言謂之隱	yj[we ji[pv vi[dv er[ek bu[eu yj[we ww[yt vi[dv yb[ed
言可復也	yj[we ke[dk fu[ro ye[vu
焉可誣也	yj[hh ke[dk wu[yg ye[vu
顏路請子之車以為之槨	yj[ly lu[zw qk[yf zi[lh vi[dv ie[qu yi[sr ww[dl vi[dv go[aw
焉能事鬼	yj[hh ng[sb ui[hk gv[be
焉能為亡	yj[hh ng[sb ww[dl wh[wv
焉能為有	yj[hh ng[sb ww[dl yz[uo
焉能繫而不食	yj[hh ng[sb xi[py er[ek bu[eu ui[rl
厭其笑	yj[iq qi[cb xn[vp
儼然人望而畏之	yj[rh rj[xd rf[pd wh[ww er[ek ww[th vi[dv
言思忠	yj[we si[tx vs[vx
焉往	yj[hh wh[rd
言未及之而言謂之躁	yj[we ww[ha ji[pv vi[dv er[ek yj[we ww[yt vi[dv zc[zk
焉用稼	yj[hh ys[ou jx[hg
焉用殺	yj[hh ys[ou ua[ia
言遊過矣	yj[we yz[df go[cz yi[su
言語	yj[we yu[yw
顏淵第十二	yj[ly yr[dp di[vg ui[hu er[hh
顏淵後	yj[ly yr[dp hz[pk
顏淵喟然嘆曰	yj[ly yr[dp kv[kt rj[xd tj[ky yt[wh
顏淵閔子騫冉伯牛仲弓	yj[ly yr[dp mb[mw zi[lh qm[gm rj[kt bo[rb nq[pf vs[rv gs[kv
顏淵死	yj[ly yr[dp si[hx
顏淵問仁	yj[ly yr[dp wf[mk rf[re
顏淵問為邦	yj[ly yr[dp wf[mk ww[dl bh[fe
顏淵曰	yj[ly yr[dp yt[wh
言之必可行也	yj[we vi[dv bi[xp ke[dk xk[rh ye[vu
言之得無訒乎	yj[we vi[dv de[ro wu[ee rf[[ hu[pb
焉知來者之不如今也	yj[hh vi[uk ld[hm ve[to vi[dv bu[eu ru[nk jb[rd ye[vu
焉知死	yj[hh vi[uk si[hx
焉知賢才而舉之	yj[hh vi[uk xm[ub cd[hu er[ek ju[xf vi[dv
偃之言是也	yj[rk vi[dv yj[we ui[op ye[vu
言中倫	yj[we vs[ku ly[rr
言忠信	yj[we vs[vx xb[ry
陽貨第十七	yh[eo ho[rb di[vg ui[hu qi[hv
陽貨欲見孔子	yh[eo ho[rb yu[bd jm[ke ks[zv zi[lh
洋洋乎盈耳哉	yh[dy yh[dy hu[pb yk[nm er[hu zd[tk
仰之彌高	yh[rp vi[dv mi[gd gc[wk
堯舜其猶病	yc[qh uy[ax qi[cb yz[qy bk[bh
堯舜其猶病諸	yc[qh uy[ax qi[cb yz[qy bk[bh vu[yt
夭夭如也	yc[pd yc[pd ru[nk ye[vu
堯曰	yc[qh yt[wh
堯曰第二十	yc[qh yt[wh di[vg er[hh ui[hu
葉公問孔子於子路	ye[ku gs[bs wf[mk ks[zv zi[lh yu[eu zi[lh lu[zw
葉公問政	ye[ku gs[bs wf[mk vg[hw
葉公語孔子曰	ye[ku gs[bs yu[yw ks[zv zi[lh yt[wh
野人也	ye[oy rf[pd ye[vu
野哉	ye[oy zd[tk
異邦人稱之亦曰君夫人	yi[kc bh[fe rf[pd ig[hd vi[dv yi[wy yt[wh jy[xk fu[er rf[pd
衣敝縕袍	yi[wy bi[bw yy[so pc[yb
以別乎	yi[sr bp[kd hu[pb
亦不從也	yi[wy bu[eu cs[rr ye[vu
以不教民戰	yi[sr bu[eu jn[tw mb[kv vj[bg
亦不可行也	yi[wy bu[eu ke[dk xk[rh ye[vu
亦不入於室	yi[wy bu[eu ru[pd yu[eu ui[gh
弋不射宿	yi[qd bu[eu ue[uc su[gr
亦不失言	yi[wy bu[eu ui[pe yj[we
以成	yi[sr ig[wv
一簞食	yi[hh dj[vb ui[rl
以道事君	yi[sr dc[bz ui[hk jy[xk
以德報德	yi[sr de[ru bc[fe de[ru
以德報怨	yi[sr de[ru bc[fe yr[xx
夷狄之有君	yi[hg di[qh vi[dv yz[uo jy[xk
以多問於寡	yi[sr do[xx wf[mk yu[eu gx[gf
已而已而	yi[kv er[ek yi[kv er[ek
儀封人請見	yi[rd fg[tc rf[pd qk[yf jm[ke
衣夫錦	yi[wy fu[er jb[jb
以服事殷	yi[sr fu[oe ui[hk yb[pj
以告者過也	yi[sr gc[nk ve[to go[cz ye[vu
亦各言其志也	yi[wy ge[wk yj[we qi[cb vi[ux ye[vu
亦各言其志也已矣	yi[wy ge[wk yj[we qi[cb vi[ux ye[vu yi[kv yi[su
亦各言其子也	yi[wy ge[wk yj[we qi[cb zi[lh ye[vu
異乎三子者之撰	yi[kc hu[pb sj[hh zi[lh ve[to vi[dv vr[fk
異乎吾所聞	yi[kc hu[pb wu[wk so[pj wf[me
以季孟之間待之	yi[sr ji[hz mg[zm vi[dv jm[mo dd[rt vi[dv
以就有道	yi[sr jq[wy yz[uo dc[bz
亦可	yi[wy ke[dk
亦可以弗畔矣夫	yi[wy ke[dk yi[sr fu[gp pj[tb yi[su fu[er
亦可以即戎矣	yi[wy ke[dk yi[sr ji[ge rs[gu yi[su
亦可以勝殘去殺矣	yi[wy ke[dk yi[sr ug[op cj[hj qu[ts ua[ia yi[su
亦可以為成人矣	yi[wy ke[dk yi[sr ww[dl ig[wv rf[pd yi[su
一匡天下	yi[hh kl[kw tm[hd xx[hb
以蒞之	yi[sr li[cr vi[dv
以臨其民	yi[sr lb[uv qi[cb mb[kv
逸民	yi[dz mb[kv
抑末也	yi[fp mo[ha ye[vu
以能問於不能	yi[sr ng[sb wf[mk yu[eu bu[eu ng[sb
一瓢飲	yi[hh pn[xp yb[ud
衣前後	yi[wy qm[bo hz[pk
衣輕裘	yi[wy qk[is qq[hy
義然後取	yi[di rj[xd hz[pk qu[ey
揖讓而升	yi[fk rh[yu er[ek ug[pc
一日克己復禮	yi[hh ri[wh ke[ge ji[kv fu[ro li[uv
繹如也	yi[sy ru[nk ye[vu
翼如也	yi[xt ru[nk ye[vu
羿善射	yi[xc uj[yk ue[uc
以思	yi[sr si[tx
以俟君子	yi[sr si[rs jy[xk zi[lh
疑思問	yi[bs si[tx wf[mk
揖所與立	yi[fk so[pj yu[hv li[lh
以為謗己也	yi[sr ww[dl bh[yl ji[kv ye[vu
抑為之不厭	yi[fp ww[dl vi[dv bu[eu yj[iq
以吾從大夫之後	yi[sr wu[wk cs[rr da[hr fu[er vi[dv hz[pk
揖巫馬期而進之	yi[fk wu[gr ma[vv qi[qo er[ek jb[ez vi[dv
以吾一日長乎爾	yi[sr wu[wk yi[hh ri[wh ih[ph hu[pb er[dx
亦奚以為	yi[wy xi[ay yi[sr ww[dl
