阿比可糖	aa[ek bi[bb ke[dk th[mg
巴洛綜合徵	ba[ku lo[dw zs[sg he[rh vg[rh
拔毛狂	ba[fu mc[sv kl[qw
拔毛試驗	ba[fu mc[sv ui[yq yj[mr
八目鰻類魚	ba[pd mu[we mj[yo lw[md yu[dt
巴婆鹼	ba[ku po[dn jm[ew
靶器官	ba[gb qi[kq gr[gu
八氫雌甾酮	ba[pd qk[qs ci[vv zd[vt ts[yk
八氫番茄紅素	ba[pd qk[qs fj[pt qp[cl hs[sg su[fy
巴氏滅菌法	ba[ku ui[pq mp[hh jy[cw fa[dt
巴氏滅菌器	ba[ku ui[pq mp[hh jy[cw qi[kq
巴氏胎兒水腫綜合徵	ba[ku ui[pq td[os er[pv uv[uu vs[ov zs[sg he[rh vg[rh
巴氏消毒法	ba[ku ui[pq xn[dx du[fm fa[dt
巴氏消毒器	ba[ku ui[pq xn[dx du[fm qi[kq
巴氏小體	ba[ku ui[pq xn[ub ti[ra
巴斯德滅菌法	ba[ku si[qj de[ru mp[hh jy[cw fa[dt
巴斯德消毒	ba[ku si[qj de[ru xn[dx du[fm
巴斯德效應	ba[ku si[qj de[ru xn[lw yk[gx
巴斯刷牙法	ba[ku si[qj ux[ud ya[hv fa[dt
拔髓針	ba[fu sv[gu vf[ju
巴他酸	ba[ku ta[ry sr[ys
巴特爾徵	ba[ku te[nt er[dx vg[rh
八腕類軟體動物	ba[pd wj[og lw[md rr[id ti[ra ds[el wu[nb
靶位點	ba[gb ww[rl dm[bd
靶細胞	ba[gb xi[st bc[ob
巴西副球孢子菌	ba[ku xi[hk fu[hd qq[wh bc[zb zi[lh jy[cw
巴西果蛋白	ba[ku xi[hk go[oa dj[pi bd[po
巴西尼疝修補術	ba[ku xi[hk ni[ub uj[bu xq[ru bu[yb uu[ad
巴西諾卡菌	ba[ku xi[hk no[yc ka[ub jy[cw
巴西天皰瘡	ba[ku xi[hk tm[hd pc[bb il[br
八仙花根	ba[pd xm[ru hx[cr gf[ag
靶腺軸	ba[gb xm[ob vz[iy
八雄蕊植物	ba[pd xs[uv rv[cx vi[au wu[nb
靶序列	ba[gb xu[gy lp[hd
靶學說	ba[gb xt[xz uo[yb
拔牙後併發症	ba[fu ya[hv hz[pk bk[bk fa[vy vg[bh
拔牙鉗	ba[fu ya[hv qm[jg
拔牙學	ba[fu ya[hv xt[xz
靶子大小	ba[gb zi[lh da[hr xn[ub
靶組織	ba[gb zu[sq vi[sk
靶組織反應	ba[gb zu[sq vi[sk fj[py yk[gx
白氨酸	bd[po an[qg sr[ys
白斑病	bd[po bj[ww bk[bh
百步次鹼	bd[eo bu[vu ci[dd jm[ew
白蛋白	bd[po dj[pi bd[po
白地黴	bd[po di[ty mw[yr
擺動負重相	bd[fs ds[el fu[db vs[ph xl[am
擺動假說	bd[fs ds[el jx[rk uo[yb
擺動配對	bd[fs ds[el pw[yk dv[yc
白髮突變	bd[po fa[vy tu[xq bm[yy
白放線菌素	bd[po fh[fw xm[sj jy[cw su[fy
白痱	bd[po fw[bf
白粉菌	bd[po ff[mf jy[cw
白粉菌科	bd[po ff[mf jy[cw ke[hd
百分位數	bd[eo ff[bd ww[rl uu[mw
百分位數值	bd[eo ff[bd ww[rl uu[mw vi[ru
白鮭精蛋白	bd[po gv[yt jk[mf dj[pi bd[po
白喉毒素	bd[po hz[kr du[fm su[fy
白喉類毒素	bd[po hz[kr lw[md du[fm su[fy
白化病人	bd[po hx[rq bk[bh rf[pd
白花不稔性	bd[po hx[cr bu[eu rf[hr xk[xp
白化體	bd[po hx[rq ti[ra
白化現象	bd[po hx[rq xm[wj xl[dk
白化愈傷組織	bd[po hx[rq yu[rx uh[rr zu[sq vi[sk
白化植物	bd[po hx[rq vi[au wu[nb
白痂病	bd[po jx[bl bk[bh
白堅木醇	bd[po jm[ut mu[ub iy[yw
白僵病	bd[po jl[rh bk[bh
白僵菌	bd[po jl[rh jy[cw
白芥子苷	bd[po jp[cr zi[lh gj[cg
白芥子鹼	bd[po jp[cr zi[lh jm[ew
白芥子硫苷	bd[po jp[cr zi[lh lq[ew gj[cg
敗菌素	bd[bw jy[cw su[fy
白蘭花鹼	bd[po lj[bs hx[cr jm[ew
百里酚藍	bd[eo li[ot ff[yf lj[cu
百里香酚	bd[eo li[ot xl[ho ff[yf
百里香醌	bd[eo li[ot xl[ho ky[yo
百里香素	bd[eo li[ot xl[ho su[fy
白蛉	bd[po lk[ir
白蛉叮咬	bd[po lk[ir dk[kd yc[kl
白卵黃	bd[po lr[pe hl[gy
白毛茛鹼	bd[po mc[sv gf[cg jm[ew
白毛舌	bd[po mc[sv ue[qk
白明膠	bd[po mk[oo jn[ol
白明膠酶	bd[po mk[oo jn[ol mw[yr
白明膠示	bd[po mk[oo jn[ol ui[ex
白念珠菌	bd[po nm[rx vu[wp jy[cw
白千層萜	bd[po qm[pu cg[ue tp[cj
白屈菜黃鹼	bd[po qu[ui cd[ca hl[gy jm[ew
白屈菜鹼	bd[po qu[ui cd[ca jm[ew
白屈菜玉紅鹼	bd[po qu[ui cd[ca yu[wd hs[sg jm[ew
白麴菌素	bd[po qu[ou jy[cw su[fy
白塞綜合徵	bd[po sd[gt zs[sg he[rh vg[rh
白色海綿狀斑痣	bd[po se[db hd[dr mm[sb vl[dq bj[ww vi[bu
白色糠疹	bd[po se[db kh[mg vf[br
白色毛結節菌病	bd[po se[db mc[sv jp[su jp[ce jy[cw bk[bh
白色皮片	bd[po se[db pi[vp pm[pu
白色皮片排斥	bd[po se[db pi[vp pm[pu pd[ff ii[jd
白色皮片缺血	bd[po se[db pi[vp pm[pu qt[pv xt[pm
白色溶膠	bd[po se[db rs[dx jn[ol
白色水腫	bd[po se[db uv[uu vs[ov
白色素細胞	bd[po se[db su[fy xi[st bc[ob
白色體	bd[po se[db ti[ra
白色萎縮	bd[po se[db ww[ch so[sg
白色血栓	bd[po se[db xt[pm ur[ar
白色質體	bd[po se[db vi[pu ti[ra
柏氏器官	bd[ab ui[pq qi[kq gr[gu
白水母素	bd[po uv[uu mu[vv su[fy
白髓	bd[po sv[gu
白陶土部分凝血酶原時間	bd[po tc[eb tu[uh bu[le ff[bd nk[db xt[pm mw[yr yr[ib ui[oc jm[mo
百萬電子伏特	bd[eo wj[hv dm[ov zi[lh fu[rq te[nt
白網狀質	bd[po wh[ki vl[dq vi[pu
白細胞蛋白酶	bd[po xi[st bc[ob dj[pi bd[po mw[yr
白細胞干擾素	bd[po xi[st bc[ob gj[hu rc[fy su[fy
白細胞隔離	bd[po xi[st bc[ob ge[eh li[wk
白細胞功能相關抗原	bd[po xi[st bc[ob gs[gl ng[sb xl[am gr[bt kh[fw yr[ib
白細胞共同抗原	bd[po xi[st bc[ob gs[gb ts[kh kh[fw yr[ib
白細胞和血小板的總稱	bd[po xi[st bc[ob he[hk xt[pm xn[ub bj[ap de[bb zs[bx ig[hd
白細胞激酶	bd[po xi[st bc[ob ji[db mw[yr
白細胞激肽	bd[po xi[st bc[ob ji[db td[od
白細胞減少	bd[po xi[st bc[ob jm[dw uc[xp
白細胞減少症	bd[po xi[st bc[ob jm[dw uc[xp vg[bh
白細胞介素	bd[po xi[st bc[ob jp[rp su[fy
白細胞介素受體	bd[po xi[st bc[ob jp[rp su[fy uz[ay ti[ra
白細胞解體	bd[po xi[st bc[ob jp[dd ti[ra
白細胞解體作用	bd[po xi[st bc[ob jp[dd ti[ra zo[rv ys[ou
白細胞聚集體	bd[po xi[st bc[ob ju[ep ji[va ti[ra
白細胞抗原	bd[po xi[st bc[ob kh[fw yr[ib
白細胞抗原配型	bd[po xi[st bc[ob kh[fw yr[ib pw[yk xk[kt
白細胞抗原相同同胞	bd[po xi[st bc[ob kh[fw yr[ib xl[am ts[kh ts[kh bc[ob
白細胞瘤	bd[po xi[st bc[ob lq[bp
白細胞粘著反應	bd[po xi[st bc[ob nm[mb ve[ym fj[py yk[gx
白細胞尿	bd[po xi[st bc[ob nn[uu
白細胞凝集素	bd[po xi[st bc[ob nk[db ji[va su[fy
白細胞凝集作用	bd[po xi[st bc[ob nk[db ji[va zo[rv ys[ou
白細胞凝血酶	bd[po xi[st bc[ob nk[db xt[pm mw[yr
白細胞溶解	bd[po xi[st bc[ob rs[dx jp[dd
白細胞溶素	bd[po xi[st bc[ob rs[dx su[fy
白細胞三烯	bd[po xi[st bc[ob sj[hh xi[hi
白細胞殺菌素	bd[po xi[st bc[ob ua[ia jy[cw su[fy
白細胞生成	bd[po xi[st bc[ob ug[pf ig[wv
白細胞素	bd[po xi[st bc[ob su[fy
白細胞調節素	bd[po xi[st bc[ob tn[yk jp[ce su[fy
白細胞形成	bd[po xi[st bc[ob xk[kp ig[wv
白細胞血管收縮素	bd[po xi[st bc[ob xt[pm gr[vg uz[vw so[sg su[fy
白細胞移動抑制因子	bd[po xi[st bc[ob yi[hx ds[el yi[fp vi[nd yb[wd zi[lh
白細胞抑制因子	bd[po xi[st bc[ob yi[fp vi[nd yb[wd zi[lh
白細胞誘素	bd[po xi[st bc[ob yz[yh su[fy
白細胞增多	bd[po xi[st bc[ob zg[tb do[xx
白細胞增多症	bd[po xi[st bc[ob zg[tb do[xx vg[bh
白細胞組織增生	bd[po xi[st bc[ob zu[sq vi[sk zg[tb ug[pf
白線疝	bd[po xm[sj uj[bu
白纖維	bd[po xm[sq ww[sv
白纖維組織	bd[po xm[sq ww[sv zu[sq vi[sk
白血細胞	bd[po xp[pm xi[st bc[ob
白鏽病	bd[po xq[jh bk[bh
白癬	bd[po xr[by
白血病病毒	bd[po xt[pm bk[bh bk[bh du[fm
敗血症型	bd[bw xt[pm vg[bh xk[kt
白液相色譜法	bd[po ye[dw xl[am se[db pu[yb fa[dt
白蟻巢	bd[po yi[id ic[vo
白蟻和蟻	bd[po yi[id he[hk yi[id
白蟻科	bd[po yi[id ke[hd
白蟻窩生的傘菌	bd[po yi[id wo[xk ug[pf de[bb sj[rb jy[cw
白英果紅素	bd[po yk[ck go[oa hs[sg su[fy
敗育	bd[bw yu[wo
敗育花粉	bd[bw yu[wo hx[cr ff[mf
敗育卵	bd[bw yu[wo lr[pe
敗育種子	bd[bw yu[wo vs[hv zi[lh
白質	bd[po vi[pu
白珠木苷	bd[po vu[wp mu[ub gj[cg
伴孢	bj[rb bc[zb
伴胞晶體	bj[rb bc[ob jk[oo ti[ra
半保留	bj[bf bc[rk lq[pt
半保留複製	bj[bf bc[rk lq[pt fu[ro vi[nd
半暴露療法	bj[bf bc[og lu[yz ln[bl fa[dt
半被果型	bj[bf bw[yp go[oa xk[kt
半閉式裝置	bj[bf bi[mc ui[qg vl[dy vi[su
半鼻再造術	bj[bf bi[zt zd[hk zc[nz uu[ad
半變態類	bj[bf bm[yy td[dx lw[md
斑駁病	bj[ww bo[mi bk[bh
半不稔性	bj[bf bu[eu rf[hr xk[xp
半不育	bj[bf bu[eu yu[wo
半不育性	bj[bf bu[eu yu[wo xk[xp
斑翅蝗科	bj[ww ii[ux hl[ib ke[hd
半翅目	bj[bf ii[ux mu[we
半翅目的前翅	bj[bf ii[ux mu[we di[bb qm[bo ii[ux
半翅目昆蟲	bj[bf ii[ux mu[we ky[ob is[ks
半存留期	bj[bf cy[uz lq[pt qi[qo
半膽紅素	bj[bf dj[oo hs[sg su[fy
半擔子	bj[bf dj[fo zi[lh
伴刀豆凝集素	bj[rb dc[vp dz[hk nk[db ji[va su[fy
伴刀豆球蛋白	bj[rb dc[vp dz[hk qq[wh dj[pi bd[po
半導體激光療法	bj[bf dc[kc ti[ra ji[db gl[xe ln[bl fa[dt
斑點基因	bj[ww dm[bd ji[qt yb[wd
斑點序	bj[ww dm[bd xu[gy
斑點亞洲嬰粟鹼	bj[ww dm[bd ya[hy vz[dd yk[bn su[xm jm[ew
斑點印跡	bj[ww dm[bd yb[pe ji[yz
板電泳	bj[ap dm[ov ys[dd
斑點雜交	bj[ww dm[bd za[ja jn[li
半冬性	bj[bf ds[wd xk[xp
半紡錘體	bj[bf fh[sf iv[ji ti[ra
半分化型族	bj[bf ff[bd hx[rq xk[kt zu[fr
半分化種	bj[bf ff[bd hx[rq vs[hv
半分生孢子	bj[bf ff[bd ug[pf bc[zb zi[lh
半腐生植物	bj[bf fu[gk ug[pf vi[au wu[nb
半附生植物	bj[bf fu[er ug[pf vi[au wu[nb
瓣鉤幼蟲	bj[lp gz[jb yz[yl is[ks
半固定橋	bj[bf gu[wg dk[gp qn[ap
半固定橋連接體	bj[bf gu[wg dk[gp qn[ap lm[iz jp[fl ti[ra
半關節成形術	bj[bf gr[bt jp[ce ig[wv xk[kp uu[ad
半關節面	bj[bf gr[bt jp[ce mm[ew
半灌木	bj[bf gr[dc mu[ub
半胱氨酸	bj[bf gl[ox an[qg sr[ys
半胱氨酸蛋白酶	bj[bf gl[ox an[qg sr[ys dj[pi bd[po mw[yr
半胱氨酸脫巰基酶	bj[bf gl[ox an[qg sr[ys to[ob qq[sw ji[qt mw[yr
半胱氨酰基	bj[bf gl[ox an[qg xm[yn ji[qt
半胱次磺酸	bj[bf gl[ox ci[dd hl[eg sr[ys
半胱磺酸	bj[bf gl[ox hl[eg sr[ys
半胱亞磺酸	bj[bf gl[ox ya[hy hl[eg sr[ys
半規管	bj[bf gv[ej gr[vg
半合成青黴素	bj[bf he[rh ig[wv qk[fo mw[yr su[fy
半合成物	bj[bf he[rh ig[wv wu[nb
半合基因	bj[bf he[rh ji[qt yb[wd
半合子	bj[bf he[rh zi[lh
半合子性	bj[bf he[rh zi[lh xk[xp
瘢痕	bj[bv hf[bg
瘢痕癌	bj[bv hf[bg ai[bk
瘢痕疙瘩	bj[bv hf[bg ge[br da[bc
瘢痕疙瘩性痤瘡	bj[bv hf[bg ge[br da[bc xk[xp co[br il[br
瘢痕疙瘩性芽生菌病	bj[bv hf[bg ge[br da[bc xk[xp ya[cy ug[pf jy[cw bk[bh
瘢痕攣縮	bj[bv hf[bg lr[yf so[sg
瘢痕切除術	bj[bv hf[bg qp[qd iu[er uu[ad
瘢痕上皮	bj[bv hf[bg uh[bh pi[vp
瘢痕鬆解植皮術	bj[bv hf[bg ss[ab jp[dd vi[au pi[vp uu[ad
瘢痕體質	bj[bv hf[bg ti[ra vi[pu
瘢痕形成	bj[bv hf[bg xk[kp ig[wv
瘢痕性瞼外翻	bj[bv hf[bg xk[xp jm[mr wd[xb fj[px
瘢痕性脫髮	bj[bv hf[bg xk[xp to[ob fa[vy
瘢痕組織	bj[bv hf[bg zu[sq vi[sk
瘢痕組織填充法	bj[bv hf[bg zu[sq vi[sk tm[tu is[we fa[dt
伴花生球蛋白	bj[rb hx[cr ug[pf qq[wh dj[pi bd[po
瓣環	bj[lp hr[wb
半棘肌	bj[bf ji[cc ji[oj
瓣基片	bj[lp ji[qt pm[pu
半寄生物	bj[bf ji[gd ug[pf wu[nb
扳機指	bj[fp ji[aj vi[fb
瓣間聯繫	bj[lp jm[mo lm[eb xi[py
半減收縮	bj[bf jm[dw uz[vw so[sg
半解剖式牙	bj[bf jp[dd pz[ld ui[qg ya[hv
半精密支託	bj[bf jk[mf mi[gu vi[uy to[fp
斑鳩菊酸	bj[ww jq[jn ju[cb sr[ys
半開放裝置	bj[bf kd[hc fh[fw vl[dy vi[su
半抗原	bj[bf kh[fw yr[ib
半抗原放射免疫測定法	bj[bf kh[fw yr[ib fh[fw ue[uc mm[dk yi[bj ce[db dk[gp fa[dt
半抗原抗體凝聚物	bj[bf kh[fw yr[ib kh[fw ti[ra nk[db ju[ep wu[nb
半抗原抑制試驗	bj[bf kh[fw yr[ib yi[fp vi[nd ui[yq yj[mr
半抗原載體複合物	bj[bf kh[fw yr[ib zd[ti ti[ra fu[ro he[rh wu[nb
坂口反應	bj[tp kz[uv fj[py yk[gx
斑枯	bj[ww ku[ag
斑塊狀副銀屑病	bj[ww kk[tv vl[dq fu[hd yb[jg xp[ux bk[bh
板框式壓濾機	bj[ap kl[ak ui[qg ya[it lv[dh ji[aj
半醌	bj[bf ky[yo
斑龍	bj[ww ls[yp
半裸原生質體	bj[bf lo[yo yr[ib ug[pf vi[pu ti[ra
伴侶分子	bj[rb lv[rk ff[bd zi[lh
斑馬狀色素沉著	bj[ww ma[vv vl[dq se[db su[fy if[dg vo[ym
半埋入橫褥式縫合	bj[bf md[to ru[pd hg[ag ru[yi ui[qg fg[sw he[rh
斑蝥皮炎	bj[ww mc[yi pi[vp yj[hh
斑蝥素	bj[ww mc[yi su[fy
板模	bj[ap mo[ac
瓣膜	bj[lp mo[oc
瓣膜變形	bj[lp mo[oc bm[yy xk[kp
瓣膜成形術	bj[lp mo[oc ig[wv xk[kp uu[ad
半膜肌	bj[bf mo[oc ji[oj
瓣膜破裂	bj[lp mo[oc po[ep lp[hy
瓣膜切開術	bj[lp mo[oc qp[qd kd[hc uu[ad
瓣膜置換術	bj[lp mo[oc vi[su hr[fd uu[ad
瓣膜注射	bj[lp mo[oc vu[dd ue[uc
半耐寒植物	bj[bf nd[ec hj[gd vi[au wu[nb
半配合	bj[bf pw[yk he[rh
半脾移植	bj[bf pi[ob yi[hx vi[au
半匍匐植物	bj[bf pu[bf fu[bh vi[au wu[nb
半氣門式	bj[bf qi[rh mf[du ui[qg
半氣生植物	bj[bf qi[rh ug[pf vi[au wu[nb
半鞘翅	bj[bf qn[gx ii[ux
半橋粒	bj[bf qn[ap li[ml
瓣切開術	bj[lp qp[qd kd[hc uu[ad
半切牙術	bj[bf qp[qd ya[hv uu[ad
伴清蛋白	bj[rb qk[df dj[pi bd[po
半球形乳房	bj[bf qq[wh xk[kp ru[av fh[hf
半軀幹畸胎	bj[bf qu[uk gj[hu ji[td td[os
半醛	bj[bf qr[yc
半日花酚鹼甲醚	bj[bf ri[wh hx[cr ff[yf jm[ew jx[ou mi[ym
半溶酚醛樹脂	bj[bf rs[dx ff[yf qr[yc uu[ay vi[ob
半乳	bj[bf ru[av
半乳多糖	bj[bf ru[av do[xx th[mg
半乳二	bj[bf ru[av er[hh
半乳二糖	bj[bf ru[av er[hh th[mg
半乳二糖苷	bj[bf ru[av er[hh th[mg gj[cg
半乳二糖苷神經酰胺	bj[bf ru[av er[hh th[mg gj[cg uf[uo jk[ss xm[yn an[og
半乳二糖神經酰胺	bj[bf ru[av er[hh th[mg uf[uo jk[ss xm[yn an[og
半乳甘露聚糖	bj[bf ru[av gj[nh lu[yz ju[ep th[mg
半乳聚糖	bj[bf ru[av ju[ep th[mg
半乳三糖基蔗糖	bj[bf ru[av sj[hh th[mg ji[qt ve[cg th[mg
半乳糖	bj[bf ru[av th[mg
半乳糖胺	bj[bf ru[av th[mg an[og
半乳糖胺醛酸	bj[bf ru[av th[mg an[og qr[yc sr[ys
半乳糖操縱子	bj[bf ru[av th[mg cc[fk zs[sr zi[lh
半乳糖醇	bj[bf ru[av th[mg iy[yw
半乳糖醇脫氫酶	bj[bf ru[av th[mg iy[yw to[ob qk[qs mw[yr
半乳糖二酸	bj[bf ru[av th[mg er[hh sr[ys
半乳糖苷	bj[bf ru[av th[mg gj[cg
半乳糖苷基	bj[bf ru[av th[mg gj[cg ji[qt
半乳糖苷基二脂酰基甘油	bj[bf ru[av th[mg gj[cg ji[qt er[hh vi[ob xm[yn ji[qt gj[nh yz[dy
半乳糖苷基甘油脂	bj[bf ru[av th[mg gj[cg ji[qt gj[nh yz[dy vi[ob
半乳糖苷基鞘氨醇	bj[bf ru[av th[mg gj[cg ji[qt qn[gx an[qg iy[yw
半乳糖苷基乳糖	bj[bf ru[av th[mg gj[cg ji[qt ru[av th[mg
半乳糖苷基神經酰胺	bj[bf ru[av th[mg gj[cg ji[qt uf[uo jk[ss xm[yn an[og
半乳糖苷基轉移酶	bj[bf ru[av th[mg gj[cg ji[qt vr[ie yi[hx mw[yr
半乳糖苷酶	bj[bf ru[av th[mg gj[cg mw[yr
半乳糖甘油二酯	bj[bf ru[av th[mg gj[nh yz[dy er[hh vi[yb
半乳糖黃素	bj[bf ru[av th[mg hl[gy su[fy
半乳糖基	bj[bf ru[av th[mg ji[qt
半乳糖基果糖	bj[bf ru[av th[mg ji[qt go[oa th[mg
半乳糖激酶	bj[bf ru[av th[mg ji[db mw[yr
半乳糖基腦苷脂酶	bj[bf ru[av th[mg ji[qt nc[ow gj[cg vi[ob mw[yr
半乳糖基唾液酸儲積症	bj[bf ru[av th[mg ji[qt to[ki ye[dw sr[ys iu[ry ji[hk vg[bh
半乳糖基轉移酶	bj[bf ru[av th[mg ji[qt vr[ie yi[hx mw[yr
半乳糖酶系	bj[bf ru[av th[mg mw[yr xi[py
半乳糖腦苷脂	bj[bf ru[av th[mg nc[ow gj[cg vi[ob
半乳糖腦苷脂積累症	bj[bf ru[av th[mg nc[ow gj[cg vi[ob ji[hk lw[ty vg[bh
半乳糖腦苷脂酶	bj[bf ru[av th[mg nc[ow gj[cg vi[ob mw[yr
半乳糖尿	bj[bf ru[av th[mg nn[uu
半乳糖醛酸	bj[bf ru[av th[mg qr[yc sr[ys
半乳糖醛酸鼠李聚糖	bj[bf ru[av th[mg qr[yc sr[ys uu[jv li[az ju[ep th[mg
半乳糖醛酸酯還原酶	bj[bf ru[av th[mg qr[yc sr[ys vi[yb hr[bz yr[ib mw[yr
半乳糖酸內酯脫氫酶	bj[bf ru[av th[mg sr[ys nw[kr vi[yb to[ob qk[qs mw[yr
半乳糖瓦爾登轉化酶	bj[bf ru[av th[mg wa[hv er[dx dg[dd vr[ie hx[rq mw[yr
半乳糖系列	bj[bf ru[av th[mg xi[py lp[hd
半乳糖血	bj[bf ru[av th[mg xt[pm
半乳糖血症	bj[bf ru[av th[mg xt[pm vg[bh
半乳糖氧化酶	bj[bf ru[av th[mg yh[qy hx[rq mw[yr
半乳糖脂	bj[bf ru[av th[mg vi[ob
半鰓	bj[bf sd[yt
瓣鰓動物	bj[lp sd[yt ds[el wu[nb
斑色胎兒	bj[ww se[db td[os er[pv
半舌切除術	bj[bf ue[qk qp[qd iu[er uu[ad
半深海帶	bj[bf uf[dg hd[dr dd[cj
半深海區	bj[bf uf[dg hd[dr qu[ki
半身麻木	bj[bf uf[pu ma[ga mu[ub
伴生合成	bj[rb ug[pf he[rh ig[wv
板式過濾機	bj[ap ui[qg go[cz lv[dh ji[aj
斑氏環路	bj[ww ui[pq hr[wb lu[zw
半受精	bj[bf uz[ay jk[mf
半壽期	bj[bf uz[fc qi[qo
半數動物麻痺劑量	bj[bf uu[mw ds[el wu[nb ma[ga bi[bt ji[wd ll[oh
半數致死量	bj[bf uu[mw vi[hw si[hx ll[oh
半數致死面積	bj[bf uu[mw vi[hw si[hx mm[ew ji[hk
半衰期	bj[bf uk[wk qi[qo
半死狀態	bj[bf si[hx vl[dq td[dx
伴隨免疫	bj[rb sv[eu mm[dk yi[bj
半索動物門	bj[bf so[uy ds[el wu[nb mf[du
半縮醛	bj[bf so[sg qr[yc
半縮酮	bj[bf so[sg ts[yk
半胎盤	bj[bf td[os pj[vm
半同胞	bj[bf ts[kh bc[ob
半透明噬菌斑突變型	bj[bf tz[hz mk[oo ui[kv jy[cw bj[ww tu[xq bm[yy xk[kt
半透性	bj[bf tz[hz xk[xp
半脫拉	bj[bf to[ob la[fl
斑萎病	bj[ww ww[ch bk[bh
半微量分析	bj[bf ww[ru ll[oh ff[bd xi[aj
伴細胞	bj[rb xi[st bc[ob
半細胞	bj[bf xi[st bc[ob
半夏蛋白	bj[bf xx[ew dj[pi bd[po
半下頜畸形	bj[bf xx[hb he[ry ji[td xk[kp
半纖維素	bj[bf xm[sq ww[sv su[fy
半纖維素酶	bj[bf xm[sq ww[sv su[fy mw[yr
半顯性	bj[bf xm[oy xk[xp
半顯性突變	bj[bf xm[oy xk[xp tu[xq bm[yy
半小花	bj[bf xn[ub hx[cr
伴型	bj[rb xk[kt
伴性	bj[rb xk[xp
板星	bj[ap xk[op
伴性基因	bj[rb xk[xp ji[qt yb[wd
伴性性狀	bj[rb xk[xp xk[xp vl[dq
伴性遺傳	bj[rb xk[xp yi[vz ir[re
伴性遺傳疾病	bj[rb xk[xp yi[vz ir[re ji[bu bk[bh
伴性致死	bj[rb xk[xp vi[hw si[hx
瓣修復術	bj[lp xq[ru fu[ro uu[ad
瓣炎	bj[lp yj[hh
斑葉品種	bj[ww ye[ku pb[kk vs[hv
半陰莖	bj[bf yb[eo jk[cs
半有絲分裂	bj[bf yz[uo si[sh ff[bd lp[hy
斑釉牙	bj[ww yz[py ya[hv
半原腸胚	bj[bf yr[ib ih[ov pw[ob
半緣紋孔對	bj[bf yr[sv wf[sw ks[zv dv[yc
半月瓣	bj[bf yt[ke bj[lp
半月神經節切除術	bj[bf yt[ke uf[uo jk[ss jp[ce qp[qd iu[er uu[ad
半月線疝	bj[bf yt[ke xm[sj uj[bu
搬運力	bj[fv yy[ez li[vp
板障	bj[ap vh[el
半掌狀	bj[bf vh[xf vl[dq
斑疹傷寒	bj[ww vf[br uh[rr hj[gd
斑疹傷寒小結	bj[ww vf[br uh[rr hj[gd xn[ub jp[su
斑痣	bj[ww vi[bu
半肢畸形	bj[bf vi[ou ji[td xk[kp
半知菌	bj[bf vi[uk jy[cw
半知菌綱	bj[bf vi[uk jy[cw gh[sk
半知菌類	bj[bf vi[uk jy[cw lw[md
半致死劑量	bj[bf vi[hw si[hx ji[wd ll[oh
半致死基因	bj[bf vi[hw si[hx ji[qt yb[wd
半致死量	bj[bf vi[hw si[hx ll[oh
半致死濃度	bj[bf vi[hw si[hx ns[dg du[gn
半致死突變	bj[bf vi[hw si[hx tu[xq bm[yy
半致死突變型	bj[bf vi[hw si[hx tu[xq bm[yy xk[kt
瓣植物	bj[lp vi[au wu[nb
斑痣性錯構瘤病	bj[ww vi[bu xk[xp co[jg gz[ab lq[bp bk[bh
瓣中瓣人工瓣植入術	bj[lp vs[ku bj[lp rf[pd gs[hu bj[lp vi[au ru[pd uu[ad
瓣周漏	bj[lp vz[kt lz[du
瓣狀	bj[lp vl[dq
瓣狀被片	bj[lp vl[dq bw[yp pm[pu
板狀分生組織	bj[ap vl[dq ff[bd ug[pf zu[sq vi[sk
板狀幹基	bj[ap vl[dq gj[hu ji[qt
板狀根	bj[ap vl[dq gf[ag
板狀基根	bj[ap vl[dq ji[qt gf[ag
斑狀萎縮	bj[ww vl[dq ww[ch so[sg
斑狀硬斑病	bj[ww vl[dq yk[eh bj[ww bk[bh
半椎體	bj[bf vv[av ti[ra
半子囊	bj[bf zi[lh nh[hk
半子囊菌孢子	bj[bf zi[lh nh[hk jy[cw bc[zb zi[lh
半子囊菌類	bj[bf zi[lh nh[hk jy[cw lw[md
半子囊菌亞綱	bj[bf zi[lh nh[hk jy[cw ya[hy gh[sk
半自養植物	bj[bf zi[pm yh[yp vi[au wu[nb
半自由寄生物	bj[bf zi[pm yz[ou ji[gd ug[pf wu[nb
半組成型突變型	bj[bf zu[sq ig[wv xk[kt tu[xq bm[yy xk[kt
傍額片	bh[rl ee[gy pm[pu
棒節	bh[as jp[ce
棒麥角	bh[as md[fw jn[do
棒前鱗	bh[as qm[bo lb[ym
棒青黴素	bh[as qk[fo mw[yr su[fy
棒麴黴素	bh[as qu[ou mw[yr su[fy
棒石松鹼	bh[as ui[ek ss[ab jm[ew
邦威爾三角	bh[fe ww[wh er[dx sj[hh jn[do
蚌線	bh[if xm[sj
棒狀桿菌	bh[as vl[dq gj[ag jy[cw
棒狀海綿骨針	bh[as vl[dq hd[dr mm[sb gu[ko vf[ju
棒狀體	bh[as vl[dq ti[ra
棒狀子實體	bh[as vl[dq zi[lh ui[gd ti[ra
孢瓣	bc[zb bj[lp
包被	bc[bk bw[yp
包被葉	bc[bk bw[yp ye[ku
包被中層	bc[bk bw[yp vs[ku cg[ue
包被作用	bc[bk bw[yp zo[rv ys[ou
孢壁	bc[zb bi[ut
