阿多諾	aa[ek do[xx no[yc
無產階級專政	wu[ee ij[lp jp[er ji[sj vr[ev vg[hw
五常	wu[hu ih[xk
無常	wu[ee ih[xk
吳澄	wu[kt ig[dd
無待	wu[ee dd[rt
五德	wu[hu de[ru
五德終始	wu[hu de[ru vs[sw ui[ns
五德轉移	wu[hu de[ru vr[ie yi[hx
無獨必有對	wu[ee du[qi bi[xp yz[uo dv[yc
無對	wu[ee dv[yc
無對待在對待中	wu[ee dv[yc dd[rt zd[ut dv[yc dd[rt vs[ku
物各自生	wu[nb ge[wk zi[pm ug[pf
無故從有故	wu[ee gu[gw cs[rr yz[uo gu[gw
五鬼鬧中華	wu[hu gv[be nc[mw vs[ku hx[ru
無何有之鄉	wu[ee he[rk yz[uo vi[dv xl[sp
無厚不可積也	wu[ee hz[io bu[eu ke[dk ji[hk ye[vu
物化	wu[nb hx[rq
無會運世	wu[ee hv[re yy[ez ui[nv
無跡	wu[ee ji[yz
無己	wu[ee ji[kv
無極	wu[ee ji[aj
物極必反	wu[nb ji[aj bi[xp fj[py
無極而太極	wu[ee ji[aj er[ek td[dd ji[aj
五戒	wu[hu jp[gc
無盡緣起	wu[ee jb[ud yr[sv qi[zk
物競天擇	wu[nb jk[lk tm[hd ze[fy
伍舉論美	wu[rw ju[xf ly[yr mw[bw
吳筠	wu[kt jy[vt
物理可知	wu[nb li[wo ke[dk vi[uk
吳亮平	wu[kt ll[wj pk[hb
無量世	wu[ee ll[oh ui[nv
無漏	wu[ee lz[du
五路	wu[hu lu[zw
五倫	wu[hu ly[rr
無名	wu[ee mk[xk
無明	wu[ee mk[oo
物莫非指	wu[nb mo[co fw[su vi[fb
五逆	wu[hu ni[nz
無念	wu[ee nm[rx
無念為宗	wu[ee nm[rx ww[dl zs[ge
無平不陂	wu[ee pk[hb bu[eu bw[ep
吳起	wu[kt qi[zk
五其比	wu[hu qi[cb bi[bb
無其器則無其道	wu[ee qi[cb qi[kq ze[bd wu[ee qi[cb dc[bz
物氣之理	wu[nb qi[rh vi[dv li[wo
無情	wu[ee qk[xf
無情有性	wu[ee qk[xf yz[uo xk[xp
無窮	wu[ee qs[xl
無染	wu[ee rj[da
吾日三省吾身	wu[wk ri[wh sj[hh xk[xm wu[wk uf[pu
無神教	wu[ee uf[uo jn[tw
無生	wu[ee ug[pf
物生有兩	wu[nb ug[pf yz[uo ll[hk
五事	wu[hu ui[hk
五時七候	wu[hu ui[oc qi[hv hz[ru
勿施於人	wu[bp ui[fr yu[eu rf[pd
五殊二實	wu[hu uu[hp er[hh ui[gd
五四新文化運動	wu[hu si[we xb[lj wf[wi hx[rq yy[ez ds[el
無私則無心	wu[ee si[hs ze[bd wu[ee xb[dv
吳廷翰	wu[kt tk[qj hj[ur
烏托邦	wu[bv to[fp bh[fe
無往不復	wu[ee wh[rd bu[eu fu[ro
無為	wu[ee ww[dl
五位百法	wu[hu ww[rl bd[eo fa[dt
無為而無不為	wu[ee ww[dl er[ek wu[ee bu[eu ww[dl
無為而治	wu[ee ww[dl er[ek vi[ds
無為法	wu[ee ww[dl fa[dt
五位君臣	wu[hu ww[rl jy[xk if[ku
無我	wu[ee wo[pf
無我之境	wu[ee wo[pf vi[dv jk[tl
五無	wu[hu wu[ee
無無	wu[ee wu[ee
物無孤立之理	wu[nb wu[ee gu[zp li[lh vi[dv li[wo
物物者非物	wu[nb wu[nb ve[to fw[su wu[nb
無限性	wu[ee xm[eg xk[xp
無心	wu[ee xb[dv
吾心即是宇宙	wu[wk xb[dv ji[ge ui[op yu[ge vz[gy
無心與順有	wu[ee xb[dv yu[hv uy[iy yz[uo
五行	wu[hu xk[rh
五性	wu[hu xk[xp
五行無常勝	wu[hu xk[rh wu[ee ih[xk ug[op
五行毋常勝	wu[hu xk[rh wu[vv ih[xk ug[op
五行相勝	wu[hu xk[rh xl[am ug[op
五行相生	wu[hu xk[rh xl[am ug[pf
毋須擔心	wu[vv xu[py dj[fo xb[dv
無言無意之域	wu[ee yj[we wu[ee yi[lx vi[dv yu[tg
務義	wu[wl yi[di
毋意	wu[vv yi[lx
無以人滅天	wu[ee yi[sr rf[pd mp[hh tm[hd
無以小害大	wu[ee yi[sr xn[ub hd[gf da[hr
無因論	wu[ee yb[wd ly[yr
物因意果	wu[nb yb[wd yi[lx go[oa
無用之用	wu[ee ys[ou vi[dv ys[ou
無有	wu[ee yz[uo
吳虞	wu[kt yu[hk
無慾	wu[ee yu[bd
吳與弼	wu[kt yu[hv bi[ge
吳樾	wu[kt yt[az
五蘊	wu[hu yy[cs
物則不通	wu[nb ze[bd bu[eu ts[sz
五賊	wu[hu zw[bg
無政府主義論戰	wu[ee vg[hw fu[gr vu[dw yi[di ly[yr vj[bg
物質	wu[nb vi[pu
物指	wu[nb vi[fb
無質獨影	wu[ee vi[pu du[qi yk[op
吳稚暉	wu[kt vi[hv hv[og
物質進化時期	wu[nb vi[pu jb[ez hx[rq ui[oc qi[qo
物質論	wu[nb vi[pu ly[yr
物質性	wu[nb vi[pu xk[xp
物至則應	wu[nb vi[ht ze[bd yk[gx
五支作法	wu[hu vi[uy zo[rv fa[dt
物種進化之時期	wu[nb vs[hv jb[ez hx[rq vi[dv ui[oc qi[qo
物種競爭原則	wu[nb vs[hv jk[lk vg[dx yr[ib ze[bd
五重唯識觀	wu[hu vs[ph ww[kv ui[yk gr[yj
無住	wu[ee vu[rd
無足輕重	wu[ee zu[kv qk[is vs[ph
襲常	xi[yy ih[xk
習常	xi[vd ih[xk
郗超	xi[ie ic[zd
繫辭盡言	xi[py ci[ql jb[ud yj[we
習動	xi[vd ds[el
西方人	xi[hk fh[dw rf[pd
西方文化	xi[hk fh[dw wf[wi hx[rq
西方哲學	xi[hk fh[dw ve[fk xt[xz
西方政治思想	xi[hk fh[dw vg[hw vi[ds si[tx xl[ax
西方政治學	xi[hk fh[dw vg[hw vi[ds xt[xz
西方中世紀	xi[hk fh[dw vs[ku ui[nv ji[sk
羲和	xi[bh he[hk
希臘本土	xi[iu la[og bf[ah tu[uh
希臘城邦時代	xi[iu la[og ig[tw bh[fe ui[oc dd[rq
希臘城邦制度	xi[iu la[og ig[tw bh[fe vi[nd du[gn
希臘化時代	xi[iu la[og hx[rq ui[oc dd[rq
希臘文	xi[iu la[og wf[wi
希臘語	xi[iu la[og yu[yw
希臘哲學	xi[iu la[og ve[fk xt[xz
希臘哲學家	xi[iu la[og ve[fk xt[xz jx[gu
昔蘭尼學派	xi[go lj[bs ni[ub xt[xz pd[dp
西門豹	xi[hk mf[du bc[pb
襲明	xi[yy mk[oo
錫諾普	xi[jo no[yc pu[bo
翕闢	xi[rx pi[ul
翕闢成變	xi[rx pi[ul ig[wv bm[yy
希遷	xi[iu qm[qz
西塞羅	xi[hk sd[gt lo[sx
吸攝力	xi[kj ue[fe li[vp
西天	xi[hk tm[hd
習相遠	xi[vd xl[am yr[ez
習心	xi[vd xb[dv
洗心	xi[dn xb[dv
習行	xi[vd xk[rh
西學其末	xi[hk xt[xz qi[cb mo[ha
希運	xi[iu yy[ez
下德	xx[hb de[ru
夏侯建	xx[ew hz[rv jm[yj
夏侯勝	xx[ew hz[rv ug[op
夏侯玄	xx[ew hz[rv xr[wy
下學上達	xx[hb xt[xz uh[bh da[dz
現代科學	xm[wj dd[rq ke[hd xt[xz
現代哲學	xm[wj dd[rq ve[fk xt[xz
憲法國家	xm[gn fa[dt go[ww jx[gu
現量	xm[wj ll[oh
纖穠	xm[sq ns[hg
現實性	xm[wj ui[gd xk[xp
見素抱樸	xm[ke su[fy bc[fb pu[ab
先天學	xm[ne tm[hd xt[xz
先王之道	xm[ne wh[su vi[dv dc[bz
顯微闡幽	xm[oy ww[ru ij[mb yz[yy
現象世界	xm[wj xl[dk ui[nv jp[tr
現行	xm[wj xk[rh
先驗論	xm[ne yj[mr ly[yr
憲章文武	xm[gn vh[lo wf[wi wu[hv
先質後文	xm[ne vi[pu hz[pk wf[wi
先知先覺	xm[ne vi[uk xm[ne jt[xj
相待	xl[am dd[rt
相對	xl[am dv[yc
相對民主	xl[am dv[yc mb[kv vu[dw
相對真理	xl[am dv[yc vf[uj li[wo
相對主義	xl[am dv[yc vu[dw yi[di
相反而不可以相無	xl[am fj[py er[ek bu[eu ke[dk yi[sr xl[am wu[ee
相反相成	xl[am fj[py xl[am ig[wv
相反相濟	xl[am fj[py xl[am ji[dw
相反相因	xl[am fj[py xl[am yb[wd
相非	xl[am fw[su
相分	xl[am ff[bd
相夫氏	xl[am fu[er ui[pq
向郭逍遙義	xl[pk go[we xn[xz yc[az yi[di
相火	xl[am ho[dp
相即	xl[am ji[ge
相濟	xl[am ji[dw
相捄相勝而相成	xl[am jq[[ xl[am ug[op er[ek xl[am ig[wv
相里勤	xl[am li[ot qb[nl
相里氏	xl[am li[ot ui[pq
鄉陵氏	xl[sp lk[et ui[pq
相入	xl[am ru[pd
相生養之道	xl[am ug[pf yh[yp vi[dv dc[bz
象數	xl[dk uu[mw
相天	xl[am tm[hd
象外	xl[dk wd[xb
象外無道	xl[dk wd[xb wu[ee dc[bz
象外之象	xl[dk wd[xb vi[dv xl[dk
相為	xl[am ww[dl
向秀	xl[pk xq[hn
相續	xl[am xu[su
饗宴篇	xl[sr yj[go pm[vh
相因	xl[am yb[wd
相因之功	xl[am yb[wd vi[dv gs[gl
相與	xl[am yu[hv
鄉愿	xl[sp yr[ix
向子期	xl[pk zi[lh qi[qo
蕭抱珍	xn[cx bc[fb vf[wr
小辯	xn[ub bm[ly
小變而不失大常	xn[ub bm[yy er[ek bu[eu ui[pe da[hr ih[xk
蕭琛	xn[cx if[wg
蕭楚女	xn[cx iu[ap nv[vp
孝慈則忠	xn[tz ci[bx ze[bd vs[vx
孝弟	xn[tz di[bg
小故	xn[ub gu[gw
小國寡民	xn[ub go[ww gx[gf mb[kv
小康	xn[ub kh[gx
肖前	xn[xo qm[bo
小人喻於利	xn[ub rf[pd yu[kr yu[eu li[hd
小人之辯	xn[ub rf[pd vi[dv bm[ly
小三世	xn[ub sj[hh ui[nv
蕭萐父	xn[cx ua[[ fu[bi
小蘇格拉底學派	xn[ub su[cl ge[aw la[fl di[gu xt[xz pd[dp
孝悌	xn[tz ti[xb
小體	xn[ub ti[ra
孝悌忠信	xn[tz ti[xb vs[vx xb[ry
肖統	xn[xo ts[sw
小同異	xn[ub ts[kh yi[kc
消息	xn[dx xi[zx
小亞細亞	xn[ub ya[hy xi[st ya[hy
蕭衍	xn[cx yj[rd
效驗	xn[lw yj[mr
逍遙	xn[xz yc[az
逍遙學派	xn[xz yc[az xt[xz pd[dp
小一	xn[ub yi[hh
蕭子良	xn[cx zi[lh ll[dg
謝赫	xp[yu he[tt
絜矩之道	xp[[ ju[uk vi[dv dc[bz
謝鯤	xp[yu ky[yo
謝良佐	xp[yu ll[dg zo[ru
謝林	xp[yu lb[aa
邪魔外道	xp[ye mo[gg wd[xb dc[bz
謝上蔡	xp[yu uh[bh cd[cx
謝玄	xp[yu xr[wy
謝應芳	xp[yu yk[gx fh[cf
心辯	xb[dv bm[ly
新柏拉圖學派	xb[lj bo[ab la[fl tu[ww xt[xz pd[dp
新柏拉圖主義	xb[lj bo[ab la[fl tu[ww vu[dw yi[di
心成之說	xb[dv ig[wv vi[dv uo[yb
新村主義運動	xb[lj cy[ac vu[dw yi[di yy[ez ds[el
心法	xb[dv fa[dt
新故相除	xb[lj gu[gw xl[am iu[er
薪火之喻	xb[cl ho[dp vi[dv yu[kr
心跡	xb[dv ji[yz
心即理	xb[dv ji[ge li[wo
心即氣	xb[dv ji[ge qi[rh
心即生命力	xb[dv ji[ge ug[pf mk[rh li[vp
心境更互緣生	xb[dv jk[tl gg[ho hu[hv yr[sv ug[pf
心具眾理	xb[dv ju[jb vs[rr li[wo
心力	xb[dv li[vp
心靈智慧	xb[dv lk[xh vi[uo hv[fx
心聲二物	xb[dv ug[um er[hh wu[nb
心聲心畫	xb[dv ug[um xb[dv hx[ht
心術	xb[dv uu[ad
心所	xb[dv so[pj
心統性情	xb[dv ts[sw xk[xp qk[xf
心外無理	xb[dv wd[xb wu[ee li[wo
心外無物	xb[dv wd[xb wu[ee wu[nb
心外無學	xb[dv wd[xb wu[ee xt[xz
心王	xb[dv wh[su
新王必改制	xb[lj wh[su bi[xp gd[kw vi[nd
心為慮本	xb[dv ww[dl lv[hx bf[ah
心物	xb[dv wu[nb
心無本體	xb[dv wu[ee bf[ah ti[ra
心物合一	xb[dv wu[nb he[rh yi[hh
心無自體	xb[dv wu[ee zi[pm ti[ra
信行	xb[ry xk[rh
心性	xb[dv xk[xp
心意識	xb[dv yi[lx ui[yk
心齋	xb[dv vd[we
新政治學	xb[lj vg[hw vi[ds xt[xz
心之官則思	xb[dv vi[dv gr[gu ze[bd si[tx
興必有廢	xk[xb bi[xp yz[uo fw[gv
邢昺	xk[ke bk[[
省察克治	xk[xm ia[gx ke[ge vi[ds
性成命定	xk[xp ig[wv mk[rh dk[gp
性成於習	xk[xp ig[wv yu[eu xi[vd
形存則神存	xk[kp cy[uz ze[bd uf[uo cy[uz
刑德	xk[kd de[ru
刑德相養	xk[kd de[ru xl[am yh[yp
性惡	xk[xp ee[hx
形而上	xk[kp er[ek uh[bh
形而上學	xk[kp er[ek uh[bh xt[xz
形而上學唯物主義	xk[kp er[ek uh[bh xt[xz ww[kv wu[nb vu[dw yi[di
形而下	xk[kp er[ek xx[hb
性分	xk[xp ff[bd
性分之知	xk[xp ff[bd vi[dv vi[uk
性各自足	xk[xp ge[wk zi[pm zu[kv
興觀群怨	xk[xb gr[yj qy[xy yr[xx
性禾善米	xk[xp he[pa uj[yk mi[ba
形化	xk[kp hx[rq
形魂	xk[kp hy[eg
形跡	xk[kp ji[yz
性即理	xk[xp ji[ge li[wo
形靜神馳	xk[kp jk[fd uf[uo ii[my
性具	xk[xp ju[jb
形具而神生	xk[kp ju[jb er[ek uf[uo ug[pf
性覺	xk[xp jt[xj
行可兼知	xk[rh ke[dk jm[bh vi[uk
性空	xk[xp ks[xg
形潰反原	xk[kp kv[dv fj[py yr[ib
性理	xk[xp li[wo
性靈說	xk[xp lk[xh uo[yb
興滅繼絕	xk[xb mp[hh ji[sm jt[sd
刑名	xk[kd mk[xk
形名	xk[kp mk[xk
性命	xk[xp mk[rh
幸偶遭遇	xk[tb ou[ro zc[hz yu[oz
行氣	xk[rh qi[rh
性起	xk[xp qi[zk
性其情	xk[xp qi[cb qk[xf
行其所不知以致其知	xk[rh qi[cb so[pj bu[eu vi[uk yi[sr vi[hw qi[cb vi[uk
性情	xk[xp qk[xf
性情三品	xk[xp qk[xf sj[hh pb[kk
興趣	xk[xb qu[ze
性日生日成	xk[xp ri[wh ug[pf ri[wh ig[wv
性三品	xk[xp sj[hh pb[kk
性善	xk[xp uj[yk
性善惡混	xk[xp uj[yk ee[hx hy[do
性善情惡	xk[xp uj[yk qk[xf ee[hx
邢邵	xk[ke uc[de
形神	xk[kp uf[uo
形神不二	xk[kp uf[uo bu[eu er[hh
形神非一	xk[kp uf[uo fw[su yi[hh
形神相合	xk[kp uf[uo xl[am he[rh
形神相即	xk[kp uf[uo xl[am ji[ge
形神相異	xk[kp uf[uo xl[am yi[kc
形恃神以立	xk[kp ui[xt uf[uo yi[sr li[lh
形式質料說	xk[kp ui[qg vi[pu ln[md uo[yb
行是知之成	xk[rh ui[op vi[uk vi[dv ig[wv
形似	xk[kp si[rs
行為方式	xk[rh ww[dl fh[dw ui[qg
性偽之分	xk[xp ww[rd vi[dv ff[bd
性無善惡論	xk[xp wu[ee uj[yk ee[hx ly[yr
性習	xk[xp xi[vd
行先知後	xk[rh xm[ne vi[uk hz[pk
興象	xk[xb xl[dk
性相	xk[xp xl[am
性相近	xk[xp xl[am jb[jz
形謝則神滅	xk[kp xp[yu ze[bd uf[uo mp[hh
形性不二	xk[kp xk[xp bu[eu er[hh
行秀	xk[rh xq[hn
性修不二	xk[xp xq[ru bu[eu er[hh
形須氣而成	xk[kp xu[py qi[rh er[ek ig[wv
形須神而立焉	xk[kp xu[py uf[uo er[ek li[lh yj[hh
行易知難	xk[rh yi[ob vi[uk nj[yv
性有善有惡	xk[xp yz[uo uj[yk yz[uo ee[hx
行遠必自邇	xk[rh yr[ez bi[xp zi[pm er[dz
星雲	xk[op yy[es
形者生之具	xk[kp ve[to ug[pf vi[dv ju[jb
性智	xk[xp vi[uo
性知	xk[xp vi[uk
形質神用	xk[kp vi[pu uf[uo ys[ou
行重知輕	xk[rh vs[ph vi[uk qk[is
熊伯龍	xs[sd bo[rb ls[yp
熊賜履	xs[sd ci[bo lv[ur
雄渾	xs[uv hy[dg
雄節	xs[uv jp[ce
熊十力	xs[sd ui[hu li[vp
熊鍾陵	xs[sd vs[jv lk[et
修齊治平	xq[ru qi[wp vi[ds pk[hb
修飾學	xq[ru ui[ur xt[xz
羞惡之心	xq[yi wu[hx vi[dv xb[dv
修正的民主政治	xq[ru vg[hv de[bb mb[kv vu[dw vg[hw vi[ds
徐愛	xu[rr ai[au
徐復觀	xu[rr fu[ro gr[yj
徐幹	xu[rr gj[hu
徐光啟	xu[rr gl[xe qi[hk
許衡	xu[yw hg[rd
虛極	xu[hy ji[aj
虛霩	xu[hy ko[[
許謙	xu[yw qm[yb
許慎	xu[yw uf[xu
虛實	xu[hy ui[gd
虛室生白	xu[hy ui[gh ug[pf bd[po
徐壽	xu[rr uz[fc
虛位	xu[hy ww[rl
徐謂	xu[rr ww[yt
虛無形	xu[hy wu[ee xk[kp
虛無有	xu[hy wu[ee yz[uo
虛象	xu[hy xl[dk
許行	xu[yw xk[rh
虛一而靜	xu[hy yi[hh er[ek jk[fd
玄德	xr[wy de[ru
懸解	xr[qx jp[dd
玄覽	xr[wy lj[uj
玄妙	xr[wy mn[nx
玄冥	xr[wy mk[go
玄牝	xr[wy pb[nb
玄談	xr[wy tj[yh
玄通	xr[wy ts[sz
玄同	xr[wy ts[kh
玄學鬼	xr[wy xt[xz gv[be
宣夜說	xr[gh ye[wr uo[yb
玄一	xr[wy yi[hh
玄一之道	xr[wy yi[hh vi[dv dc[bz
玄遠	xr[wy yr[ez
玄奘	xr[wy zh[pd
學而不思則罔	xt[xz er[ek bu[eu si[tx ze[bd wh[kb
學而不厭	xt[xz er[ek bu[eu yj[iq
學而時習之	xt[xz er[ek ui[oc xi[vd vi[dv
學而優則仕	xt[xz er[ek yz[ry ze[bd ui[ru
學而知之	xt[xz er[ek vi[uk vi[dv
薛福成	xt[cp fu[uh ig[wv
薛季宣	xt[cp ji[hz xr[gh
血氣心知	xt[pm qi[rh xb[dv vi[uk
學說庫	xt[xz uo[yb ku[gi
學思	xt[xz si[tx
學問思辨	xt[xz wf[mk si[tx bm[ld
學習	xt[xz xi[vd
薛瑄	xt[cp xr[wg
學園派	xt[xz yr[we pd[dp
學知	xt[xz vi[uk
荀粲	xy[cb cj[bm
循道而不貳	xy[rp dc[bz er[ek bu[eu er[qb
荀況	xy[cb kl[dk
循理	xy[rp li[wo
循名究理	xy[rp mk[xk jq[xj li[wo
循名責實	xy[rp mk[xk ze[fb ui[gd
荀卿	xy[cb qk[pg
尋求超越	xy[xc qq[hu ic[zd yt[zh
荀融	xy[cb rs[hi
荀爽	xy[cb ul[di
熏習	xy[pd xi[vd
荀彧	xy[cb yu[[
荀悅	xy[cb yt[xb
荀子	xy[cb zi[lh
雅典法庭	ya[yv dm[kb fa[dt tk[gq
牙含章	ya[hv hj[rk vh[lo
亞里士多德	ya[hy li[ot ui[uh do[xx de[ru
亞里斯提布	ya[hy li[ot si[qj ti[fo bu[uj
亞里土多德學說	ya[hy li[ot tu[uh do[xx de[ru xt[xz uo[yb
揠苗助長	ya[fk mn[ct vu[ql vh[ph
雅遠	ya[yv yr[ez
嚴北溟	yj[hy bw[ub mk[dg
言不盡意	yj[we bu[eu jb[ud yi[lx
彥琮	yj[lp cs[wg
言多方	yj[we do[xx fh[dw
嚴復	yj[hy fu[ro
顏回	yj[ly hv[wk
嚴幾道	yj[hy ji[pv dc[bz
言盡意	yj[we jb[ud yi[lx
研究對象	yj[ek jq[xj dv[yc xl[dk
研究自然	yj[ek jq[xj zi[pm rj[xd
顏鈞	yj[ly jy[jb
嚴君平	yj[hy jy[xk pk[hb
嚴靈峰	yj[hy lk[xh fg[uw
閻羅妖	yj[md lo[sx yc[np
晏平仲	yj[og pk[hb vs[rv
閻若璩	yj[md ro[cu qu[wh
顏師古	yj[ly ui[uh gu[uk
延壽	yj[pj uz[fc
延天佑人	yj[pj tm[hd yz[ru rf[pd
言為心聲	yj[we ww[dl xb[dv ug[um
顏習齋	yj[ly xi[vd vd[we
言行	yj[we xk[rh
言偃	yj[we yj[rk
顏延之	yj[ly yj[pj vi[dv
言意	yj[we yi[lx
言以諭心	yj[we yi[sr yu[yr xb[dv
言意之辨	yj[we yi[lx vi[dv bm[ld
言因理而變	yj[we yb[wd li[wo er[ek bm[yy
晏嬰	yj[og yk[bn
嚴羽	yj[hy yu[xx
顏元	yj[ly yr[ee
顏淵	yj[ly yr[dp
燕之北越之南是也	yj[nk vi[dv bw[ub yt[zh vi[dv nj[uk ui[op ye[vu
顏之推	yj[ly vi[dv tv[fv
晏子	yj[og zi[lh
嚴遵	yj[hy zy[bz
楊布利柯	yh[av bu[uj li[hd ke[ak
楊誠齋	yh[av ig[yw vd[we
楊慈湖	yh[av ci[bx hu[dg
楊東明	yh[av ds[qx mk[oo
陽剛之美	yh[eo gh[kd vi[dv mw[bw
仰觀俯察	yh[rp gr[yj fu[rg ia[gx
楊龜山	yh[av gv[do uj[uk
楊何	yh[av he[rk
楊簡	yh[av jm[vm
楊柳橋	yh[av lq[ap qn[ap
養氣	yh[yp qi[rh
揚棄	yh[fv qi[wc
楊泉	yh[av qr[bu
楊榮國	yh[av rs[ca go[ww
楊慎	yh[av uf[xu
楊升庵	yh[av ug[pc an[gd
楊時	yh[av ui[oc
楊萬里	yh[av wj[hv li[ot
楊王孫	yh[av wh[su sy[zx
楊文會	yh[av wf[wi hv[re
楊獻珍	yh[av xm[uq vf[wr
養心	yh[yp xb[dv
揚雄	yh[fv xs[uv
楊雄	yh[av xs[uv
楊朱	yh[av vu[ph
楊子	yh[av zi[lh
陽子居	yh[eo zi[lh ju[ug
陽尊陰卑	yh[eo zy[bc yb[eo bw[bu
要擺脫	yc[xn bd[fs to[ob
爻辭	yc[ii ci[ql
姚際恆	yc[nv ji[ee hg[xh
業報	ye[ub bc[fe
葉德輝	ye[ku de[ru hv[xg
野馬	ye[oy ma[vv
夜氣	ye[wr qi[rh
葉青	ye[ku qk[fo
葉適	ye[ku ui[qz
葉水心	ye[ku uv[uu xb[dv
葉燮	ye[ku xp[hy
葉子奇	ye[ku zi[lh qi[dk
伊奧尼亞	yi[rx ao[pd ni[ub ya[hy
易白沙	yi[ob bd[po ua[dx
一本	yi[hh bf[ah
一本萬殊	yi[hh bf[ah wj[hv uu[hp
伊壁鳩魯	yi[rx bi[ut jq[jn lu[yo
伊壁鳩魯派	yi[rx bi[ut jq[jn lu[yo pd[dp
伊壁鳩魯篇	yi[rx bi[ut jq[jn lu[yo pm[vh
伊壁鳩魯學派	yi[rx bi[ut jq[jn lu[yo xt[xz pd[dp
伊壁鳩魯主義	yi[rx bi[ut jq[jn lu[yo vu[dw yi[di
義兵	yi[di bk[qb
以不知為宗	yi[sr bu[eu vi[uk ww[dl zs[ge
一闡提	yi[hh ij[mb ti[fo
一闡提迦	yi[hh ij[mb ti[fo jx[lz
以禪喻詩	yi[sr ij[ub yu[kr ui[yt
以辭抒意	yi[sr ci[ql uu[fy yi[lx
義存	yi[di cy[uz
意大利南部	yi[lx da[hr li[hd nj[uk bu[le
一旦擁有	yi[hh dj[oh ys[fo yz[uo
以道制欲	yi[sr dc[bz vi[nd yu[bd
以德報怨	yi[sr de[ru bc[fe yr[xx
以德配天	yi[sr de[ru pw[yk tm[hd
一多	yi[hh do[xx
一多相即	yi[hh do[xx xl[am ji[ge
一多相容	yi[hh do[xx xl[am rs[xr
一而二	yi[hh er[ek er[hh
已發	yi[kv fa[vy
以法為教	yi[sr fa[dt ww[dl jn[tw
一分為二	yi[hh ff[bd ww[dl er[hh
易服色	yi[ob fu[oe se[db
異故	yi[kc gu[gw
一故神	yi[hh gu[gw uf[uo
一貫	yi[hh gr[mb
一行	yi[hh hh[rh
醫和	yi[ku he[hk
一畫	yi[hh hx[ht
一即三	yi[hh ji[ge sj[hh
一即一切	yi[hh ji[ge yi[hh qp[qd
意見	yi[lx jm[ke
易簡工夫	yi[ob jm[vm gs[hu fu[er
以見知隱	yi[sr jm[ke vi[uk yb[ed
意匠	yi[lx jl[kj
以今推古	yi[sr jb[rd tv[fv gu[uk
義淨	yi[di jk[dd
意境	yi[lx jk[tl
以靜制動	yi[sr jk[fd vi[nd ds[el
異類不比	yi[kc lw[md bu[eu bi[bb
以類度類	yi[sr lw[md du[gn lw[md
以類取	yi[sr lw[md qu[ey
以類行雜	yi[sr lw[md xk[rh za[ja
以類予	yi[sr lw[md yu[sv
義利	yi[di li[hd
義理	yi[di li[wo
以理殺人	yi[sr li[wo ua[ia rf[pd
義利雙行	yi[di li[hd ul[yy xk[rh
以吏為師	yi[sr li[hk ww[dl ui[uh
義利之辨	yi[di li[hd vi[dv bm[ld
義理之性	yi[di li[wo vi[dv xk[xp
義理之學	yi[di li[wo vi[dv xt[xz
一兩	yi[hh ll[hk
以名舉實	yi[sr mk[xk ju[xf ui[gd
一念發動即是行	yi[hh nm[rx fa[vy ds[el ji[ge ui[op xk[rh
一念三千	yi[hh nm[rx sj[hh qm[pu
以其取也	yi[sr qi[cb qu[ey ye[vu
以奇相御	yi[sr qi[dk xl[am yu[rw
一切即一	yi[hh qp[qd ji[ge yi[hh
一切知識	yi[hh qp[qd vi[uk ui[yk
以情緯文	yi[sr qk[xf ww[sw wf[wi
一曲	yi[hh qu[ou
依人建極	yi[ry rf[pd jm[yj ji[aj
以仁為本	yi[sr rf[re ww[dl bf[ah
義榮	yi[di rs[ca
義辱	yi[di ru[ic
以儒學為本	yi[sr ru[ry xt[xz ww[dl bf[ah
意識	yi[lx ui[yk
一是而一非	yi[hh ui[op er[ek yi[hh fw[su
以適聽適	yi[sr ui[qz tk[kj ui[qz
意識形態	yi[lx ui[yk xk[kp td[dx
衣食足以知榮辱	yi[wy ui[rl zu[kv yi[sr vi[uk rs[ca ru[ic
異熟	yi[kc uu[wd
以說出故	yi[sr uo[yb iu[ck gu[gw
依他起性	yi[ry ta[ry qi[zk xk[xp
以太	yi[sr td[dd
以天合天	yi[sr tm[hd he[rh tm[hd
異同攻取	yi[kc ts[kh gs[gw qu[ey
以往知來	yi[sr wh[rd vi[uk ld[hm
以物觀物	yi[sr wu[nb gr[yj wu[nb
一物兩體	yi[hh wu[nb ll[hk ti[ra
以無為本	yi[sr wu[ee ww[dl bf[ah
夷夏之辨	yi[hg xx[ew vi[dv bm[ld
意象	yi[lx xl[dk
以小推大	yi[sr xn[ub tv[fv da[hr
以心傳心	yi[sr xb[dv ir[re xb[dv
一心三觀	yi[hh xb[dv sj[hh gr[yj
一心三智	yi[hh xb[dv sj[hh vi[uo
以心挽劫	yi[sr xb[dv wj[fd jp[tl
易心瑩	yi[ob xb[dv yk[cw
以心原物	yi[sr xb[dv yr[ib wu[nb
以行而求知	yi[sr xk[rh er[ek qq[hu vi[uk
以刑去刑	yi[sr xk[kd qu[ts xk[kd
以性統情	yi[sr xk[xp ts[sw qk[xf
以形務名	yi[sr xk[kp wu[wl mk[xk
以形寫神	yi[sr xk[kp xp[gh uf[uo
以形寫形	yi[sr xk[kp xp[gh xk[kp
義玄	yi[di xr[wy
意驗相符	yi[lx yj[mr xl[am fu[vr
一以貫之	yi[hh yi[sr gr[mb vi[dv
