阿巴嘎旗	aa[ek ba[ku ga[ke qi[fr
維西傈僳族自治縣	ww[sv xi[hk li[rx su[rx zu[fr zi[pm vi[ds xm[qs
威縣	ww[wh xm[qs
魏縣	ww[hg xm[qs
威信縣	ww[wh xb[ry xm[qs
未央區	ww[ha yh[kd qu[ki
威遠縣	ww[wh yr[ez xm[qs
渭源縣	ww[dt yr[di xm[qs
文安縣	wf[wi an[gn xm[qs
文昌市	wf[wi ih[oo ui[wj
文成縣	wf[wi ig[wv xm[qs
汶川縣	wf[dw ir[pu xm[qs
文登區	wf[wi dg[dd qu[ki
文峰區	wf[wi fg[uw qu[ki
溫江區	wf[do jl[dg qu[ki
溫嶺市	wf[do lk[ur ui[wj
溫泉縣	wf[do qr[bu xm[qs
文山市	wf[wi uj[uk ui[wj
文山壯族苗族自治州	wf[wi uj[uk vl[du zu[fr mn[ct zu[fr zi[pm vi[ds vz[dp
汶上縣	wf[dw uh[bh xm[qs
文聖區	wf[wi ug[yt qu[ki
文水縣	wf[wi uv[uu xm[qs
溫宿縣	wf[do su[gr xm[qs
聞喜縣	wf[me xi[uk xm[qs
文縣	wf[wi xm[qs
溫縣	wf[do xm[qs
溫州市	wf[do vz[dp ui[wj
甕安縣	wg[bw an[gn xm[qs
翁牛特旗	wg[bx nq[pf te[nt qi[fr
翁源縣	wg[bx yr[di xm[qs
臥龍區	wo[kb ls[yp qu[ki
武安市	wu[hv an[gn ui[wj
吳堡縣	wu[kt bc[rt xm[qs
武昌區	wu[hv ih[oo qu[ki
五常市	wu[hu ih[xk ui[wj
婺城區	wu[yn ig[tw qu[ki
武城縣	wu[hv ig[tw xm[qs
務川仡佬族苗族自治縣	wu[wl ir[pu ge[rr lc[rt zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
吳川市	wu[kt ir[pu ui[wj
武川縣	wu[hv ir[pu xm[qs
烏翠區	wu[bv cv[xw qu[ki
五大連池市	wu[hu da[hr lm[iz ii[dy ui[wj
烏達區	wu[bv da[dz qu[ki
烏當區	wu[bv dh[xx qu[ki
無棣縣	wu[ee di[ax xm[qs
武定縣	wu[hv dk[gp xm[qs
武都區	wu[hv du[te qu[ki
烏爾禾區	wu[bv er[dx he[pa qu[ki
五峰土家族自治縣	wu[hu fg[uw tu[uh jx[gu zu[fr zi[pm vi[ds xm[qs
武岡市	wu[hv gh[ki ui[wj
舞鋼市	wu[rx gh[jk ui[wj
武功縣	wu[hv gs[gl xm[qs
烏海市	wu[bv hd[dr ui[wj
武漢市	wu[hv hj[dy ui[wj
五河縣	wu[hu he[dk xm[qs
武侯區	wu[hv hz[rv qu[ki
蕪湖市	wu[ce hu[dg ui[wj
五華區	wu[hu hx[ru qu[ki
五華縣	wu[hu hx[ru xm[qs
無極縣	wu[ee ji[aj xm[qs
伍家崗區	wu[rw jx[gu gh[uk qu[ki
五家渠市	wu[hu jx[gu qu[da ui[wj
吳江區	wu[kt jl[dg qu[ki
武江區	wu[hv jl[dg qu[ki
武進區	wu[hv jb[ez qu[ki
烏拉特後旗	wu[bv la[fl te[nt hz[pk qi[fr
烏拉特前旗	wu[bv la[fl te[nt qm[bo qi[fr
烏拉特中旗	wu[bv la[fl te[nt vs[ku qi[fr
烏蘭察布市	wu[bv lj[bs ia[gx bu[uj ui[wj
烏蘭浩特市	wu[bv lj[bs hc[dn te[nt ui[wj
烏蘭縣	wu[bv lj[bs xm[qs
五蓮縣	wu[hu lm[ci xm[qs
武陵區	wu[hv lk[et qu[ki
武陵源區	wu[hv lk[et yr[di qu[ki
武隆區	wu[hv ls[ew qu[ki
烏魯木齊市	wu[bv lu[yo mu[ub qi[wp ui[wj
烏魯木齊縣	wu[bv lu[yo mu[ub qi[wp xm[qs
武鳴區	wu[hv mk[kn qu[ki
武寧縣	wu[hv nk[gd xm[qs
武平縣	wu[hv pk[hb xm[qs
吳起縣	wu[kt qi[zk xm[qs
烏恰縣	wu[bv qx[xr xm[qs
武強縣	wu[hv ql[gk xm[qs
吳橋縣	wu[kt qn[ap xm[qs
武清區	wu[hv qk[df qu[ki
巫山縣	wu[gr uj[uk xm[qs
武山縣	wu[hv uj[uk xm[qs
烏審旗	wu[bv uf[go qi[fr
武勝縣	wu[hv ug[op xm[qs
烏什縣	wu[bv ui[ru xm[qs
烏蘇市	wu[bv su[cl ui[wj
五臺縣	wu[hu td[sk xm[qs
五通橋區	wu[hu ts[sz qn[ap qu[ki
無為市	wu[ee ww[dl ui[wj
武威市	wu[hv ww[wh ui[wj
無錫市	wu[ee xi[jo ui[wj
巫溪縣	wu[gr xi[da xm[qs
武鄉縣	wu[hv xl[sp xm[qs
吳興區	wu[kt xk[xb qu[ki
武宣縣	wu[hv xr[gh xm[qs
武穴市	wu[hv xt[gb ui[wj
舞陽縣	wu[rx yh[eo xm[qs
武夷山市	wu[hv yi[hg uj[uk ui[wj
武義縣	wu[hv yi[di xm[qs
武邑縣	wu[hv yi[kb xm[qs
五原縣	wu[hu yr[ib xm[qs
婺源縣	wu[yn yr[di xm[qs
五寨縣	wu[hu vd[ga xm[qs
五指山市	wu[hu vi[fb uj[uk ui[wj
武陟縣	wu[hv vi[ev xm[qs
吳中區	wu[kt vs[ku qu[ki
吳忠市	wu[kt vs[vx ui[wj
梧州市	wu[aw vz[dp ui[wj
西安區	xi[hk an[gn qu[ki
西安市	xi[hk an[gn ui[wj
西昌市	xi[hk ih[oo ui[wj
西城區	xi[hk ig[tw qu[ki
西充縣	xi[hk is[we xm[qs
西疇縣	xi[hk iz[tf xm[qs
淅川縣	xi[da ir[pu xm[qs
喜德縣	xi[uk de[ru xm[qs
西峰區	xi[hk fg[uw qu[ki
息烽縣	xi[zx fg[hw xm[qs
西豐縣	xi[hk fg[su xm[qs
西崗區	xi[hk gh[uk qu[ki
西工區	xi[hk gs[hu qu[ki
西固區	xi[hk gu[wg qu[ki
細河區	xi[st he[dk qu[ki
西和縣	xi[hk he[hk xm[qs
溪湖區	xi[da hu[dg qu[ki
西湖區	xi[hk hu[dg qu[ki
西華縣	xi[hk hx[ru xm[qs
西吉縣	xi[hk ji[uk xm[qs
錫林郭勒盟	xi[jo lb[aa go[we le[gl mg[om
錫林浩特市	xi[jo lb[aa hc[dn te[nt ui[wj
西林縣	xi[hk lb[aa xm[qs
西陵區	xi[hk lk[et qu[ki
西盟佤族自治縣	xi[hk mg[om wa[rw zu[fr zi[pm vi[ds xm[qs
西寧市	xi[hk nk[gd ui[wj
西平縣	xi[hk pk[hb xm[qs
西青區	xi[hk qk[fo qu[ki
西區	xi[hk qu[ki
西塞山區	xi[hk sd[gt uj[uk qu[ki
西沙區	xi[hk ua[dx qu[ki
西山區	xi[hk uj[uk qu[ki
錫山區	xi[jo uj[uk qu[ki
西市區	xi[hk ui[wj qu[ki
西雙版納傣族自治州	xi[hk ul[yy bj[pp na[sk dd[rs zu[fr zi[pm vi[ds vz[dp
習水縣	xi[vd uv[uu xm[qs
浠水縣	xi[di uv[uu xm[qs
西烏珠穆沁旗	xi[hk wu[bv vu[wp mu[hb qb[dx qi[fr
西夏區	xi[hk xx[ew qu[ki
西峽縣	xi[hk xx[uj xm[qs
息縣	xi[zx xm[qs
隰縣	xi[eo xm[qs
西鄉塘區	xi[hk xl[sp th[tg qu[ki
西鄉縣	xi[hk xl[sp xm[qs
西秀區	xi[hk xq[hn qu[ki
昔陽縣	xi[go yh[eo xm[qs
西藏自治區	xi[hk zh[cw zi[pm vi[ds qu[ki
下城區	xx[hb ig[tw qu[ki
夏河縣	xx[ew he[dk xm[qs
下花園區	xx[hb hx[cr yr[we qu[ki
峽江縣	xx[uj jl[dg xm[qs
夏津縣	xx[ew jb[dy xm[qs
下陸區	xx[hb lu[ef qu[ki
廈門市	xx[ie mf[du ui[wj
霞浦縣	xx[yk pu[df xm[qs
霞山區	xx[yk uj[uk qu[ki
夏縣	xx[ew xm[qs
夏邑縣	xx[ew yi[kb xm[qs
咸安區	xm[wh an[gn qu[ki
咸豐縣	xm[wh fg[su xm[qs
仙居縣	xm[ru ju[ug xm[qs
咸寧市	xm[wh nk[gd ui[wj
仙桃市	xm[ru tc[av ui[wj
獻縣	xm[uq xm[qs
咸陽市	xm[wh yh[eo ui[wj
仙遊縣	xm[ru yz[df xm[qs
翔安區	xl[yx an[gn qu[ki
相城區	xl[am ig[tw qu[ki
薌城區	xl[cs ig[tw qu[ki
襄城區	xl[wk ig[tw qu[ki
項城市	xl[gy ig[tw ui[wj
鄉城縣	xl[sp ig[tw xm[qs
襄城縣	xl[wk ig[tw xm[qs
湘東區	xl[da ds[qx qu[ki
襄都區	xl[wk dz[te qu[ki
香坊區	xl[ho fh[tf qu[ki
襄汾縣	xl[wk ff[df xm[qs
祥符區	xl[uy fu[vr qu[ki
香港特別行政區	xl[ho gh[dg te[nt bp[kd xk[rh vg[hw qu[ki
香格里拉市	xl[ho ge[aw li[ot la[fl ui[wj
香河縣	xl[ho he[dk xm[qs
鑲黃旗	xl[jw hl[gy qi[fr
鄉寧縣	xl[sp nk[gd xm[qs
湘橋區	xl[da qn[ap qu[ki
相山區	xl[am uj[uk qu[ki
象山區	xl[dk uj[uk qu[ki
象山縣	xl[dk uj[uk xm[qs
響水縣	xl[kp uv[uu xm[qs
湘潭市	xl[da tj[dx ui[wj
湘潭縣	xl[da tj[dx xm[qs
湘西土家族苗族自治州	xl[da xi[hk tu[uh jx[gu zu[fr mn[ct zu[fr zi[pm vi[ds vz[dp
湘鄉市	xl[da xl[sp ui[wj
向陽區	xl[pk yh[eo qu[ki
襄陽市	xl[wk yh[eo ui[wj
湘陰縣	xl[da yb[eo xm[qs
襄垣縣	xl[wk yr[th xm[qs
祥雲縣	xl[uy yy[es xm[qs
襄州區	xl[wk vz[dp qu[ki
香洲區	xl[ho vz[dd qu[ki
象州縣	xl[dk vz[dp xm[qs
孝昌縣	xn[tz ih[oo xm[qs
小店區	xn[ub dm[gb qu[ki
孝感市	xn[tz gj[wx ui[wj
小金縣	xn[ub jb[rw xm[qs
孝南區	xn[tz nj[uk qu[ki
蕭山區	xn[cx uj[uk qu[ki
猇亭區	xn[[ tk[wd qu[ki
蕭縣	xn[cx xm[qs
孝義市	xn[tz yi[di ui[wj
謝家集區	xp[yu jx[gu ji[va qu[ki
謝通門縣	xp[yu ts[sz mf[du xm[qs
新安縣	xb[lj an[gn xm[qs
新巴爾虎右旗	xb[lj ba[ku er[dx hu[hj yz[uk qi[fr
新巴爾虎左旗	xb[lj ba[ku er[dx hu[hj zo[ug qi[fr
新北區	xb[lj bw[ub qu[ki
新賓滿族自治縣	xb[lj bb[gq mj[dc zu[fr zi[pm vi[ds xm[qs
新蔡縣	xb[lj cd[cx xm[qs
新昌縣	xb[lj ih[oo xm[qs
新城區	xb[lj ig[tw qu[ki
忻城縣	xb[xj ig[tw xm[qs
信都區	xb[ry du[te qu[ki
新都區	xb[lj du[te qu[ki
信豐縣	xb[ry fg[su xm[qs
新豐縣	xb[lj fg[su xm[qs
忻府區	xb[xj fu[gr qu[ki
新撫區	xb[lj fu[fe qu[ki
新幹縣	xb[lj gj[hu xm[qs
新和縣	xb[lj he[hk xm[qs
新河縣	xb[lj he[dk xm[qs
新華區	xb[lj hx[ru qu[ki
新化縣	xb[lj hx[rq xm[qs
新晃侗族自治縣	xb[lj hl[ox ds[rk zu[fr zi[pm vi[ds xm[qs
新會區	xb[lj hv[re qu[ki
辛集市	xb[lu ji[va ui[wj
新建區	xb[lj jm[yj qu[ki
新疆維吾爾自治區	xb[lj jl[gh ww[sv wu[wk er[dx zi[pm vi[ds qu[ki
新絳縣	xb[lj jl[sw xm[qs
新津區	xb[lj jb[dy qu[ki
新樂市	xb[lj le[px ui[wj
新龍縣	xb[lj ls[yp xm[qs
新羅區	xb[lj lo[sx qu[ki
新密市	xb[lj mi[gu ui[wj
新民市	xb[lj mb[kv ui[wj
新寧縣	xb[lj nk[gd xm[qs
新平彝族傣族自治縣	xb[lj pk[hb yi[vm zu[fr dd[rs zu[fr zi[pm vi[ds xm[qs
新邱區	xb[lj qq[qe qu[ki
新榮區	xb[lj rs[ca qu[ki
新邵縣	xb[lj uc[de xm[qs
新市區	xb[lj ui[wj qu[ki
新泰市	xb[lj td[su ui[wj
新田縣	xb[lj tm[wu xm[qs
新吳區	xb[lj wu[kt qu[ki
新縣	xb[lj xm[qs
新鄉市	xb[lj xl[sp ui[wj
新鄉縣	xb[lj xl[sp xm[qs
新興區	xb[lj xk[xb qu[ki
新興縣	xb[lj xk[xb xm[qs
信陽市	xb[ry yh[eo ui[wj
新野縣	xb[lj ye[oy xm[qs
信宜市	xb[ry yi[gq ui[wj
新沂市	xb[lj yi[dj ui[wj
新餘市	xb[lj yu[re ui[wj
新源縣	xb[lj yr[di xm[qs
新鄭市	xb[lj vg[be ui[wj
信州區	xb[ry vz[dp qu[ki
新洲區	xb[lj vz[dd qu[ki
忻州市	xb[xj vz[dp ui[wj
興安盟	xk[xb an[gn mg[om
興安區	xk[xb an[gn qu[ki
興安縣	xk[xb an[gn xm[qs
興賓區	xk[xb bb[gq qu[ki
興城市	xk[xb ig[tw ui[wj
興國縣	xk[xb go[ww xm[qs
興海縣	xk[xb hd[dr xm[qs
興和縣	xk[xb he[hk xm[qs
杏花嶺區	xk[ak hx[cr lk[ur qu[ki
興化市	xk[xb hx[rq ui[wj
興隆臺區	xk[xb ls[ew td[sk qu[ki
興隆縣	xk[xb ls[ew xm[qs
興寧區	xk[xb nk[gd qu[ki
興寧市	xk[xb nk[gd ui[wj
興平市	xk[xb pk[hb ui[wj
興慶區	xk[xb qk[gd qu[ki
興仁市	xk[xb rf[re ui[wj
興山區	xk[xb uj[uk qu[ki
興山縣	xk[xb uj[uk xm[qs
邢臺市	xk[ke td[sk ui[wj
行唐縣	xk[rh th[gx xm[qs
興文縣	xk[xb wf[wi xm[qs
興縣	xk[xb xm[qs
滎陽市	xk[cu yh[eo ui[wj
興業縣	xk[xb ye[ub xm[qs
興義市	xk[xb yi[di ui[wj
雄縣	xs[uv xm[qs
秀峰區	xq[hn fg[uw qu[ki
休寧縣	xq[ra nk[gd xm[qs
秀山土家族苗族自治縣	xq[hn uj[uk tu[uh jx[gu zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
修水縣	xq[ru uv[uu xm[qs
修文縣	xq[ru wf[wi xm[qs
修武縣	xq[ru wu[hv xm[qs
岫巖滿族自治縣	xq[uy yj[ue mj[dc zu[fr zi[pm vi[ds xm[qs
秀英區	xq[hn yk[ck qu[ki
秀嶼區	xq[hn yu[uh qu[ki
秀洲區	xq[hn vz[dd qu[ki
許昌市	xu[yw ih[oo ui[wj
徐彙區	xu[rr hv[dk qu[ki
漵浦縣	xu[dr pu[df xm[qs
徐水區	xu[rr uv[uu qu[ki
徐聞縣	xu[rr wf[me xm[qs
盱眙縣	xu[me yi[ms xm[qs
敘永縣	xu[ry ys[dv xm[qs
敘州區	xu[ry vz[dp qu[ki
徐州市	xu[rr vz[dp ui[wj
宣城市	xr[gh ig[tw ui[wj
宣恩縣	xr[gh en[wx xm[qs
宣漢縣	xr[gh hj[dy xm[qs
宣化區	xr[gh hx[rq qu[ki
宣威市	xr[gh ww[wh ui[wj
玄武區	xr[wy wu[hv qu[ki
宣州區	xr[gh vz[dp qu[ki
薛城區	xt[cp ig[tw qu[ki
尋甸回族彝族自治縣	xy[xc dm[bt hv[wk zu[fr yi[vm zu[fr zi[pm vi[ds xm[qs
循化撒拉族自治縣	xy[rp hx[rq sa[fg la[fl zu[fr zi[pm vi[ds xm[qs
遜克縣	xy[zz ke[ge xm[qs
尋烏縣	xy[xc wu[bv xm[qs
浚縣	xy[ds xm[qs
潯陽區	xy[dx yh[eo qu[ki
旬陽縣	xy[bo yh[eo xm[qs
旬邑縣	xy[bo yi[kb xm[qs
雅安市	ya[yv an[gn ui[wj
亞東縣	ya[hy ds[qx xm[qs
雅江縣	ya[yv jl[dg xm[qs
牙克石市	ya[hv ke[ge ui[ek ui[wj
崖州區	ya[ui vz[dp qu[ki
延安市	yj[pj an[gn ui[wj
延邊朝鮮族自治州	yj[pj bm[lz ic[uo xm[yy zu[fr zi[pm vi[ds vz[dp
鹽邊縣	yj[tm bm[lz xm[qs
延長縣	yj[pj ih[ph xm[qs
郾城區	yj[ke ig[tw qu[ki
鹽城市	yj[tm ig[tw ui[wj
鹽池縣	yj[tm ii[dy xm[qs
延川縣	yj[pj ir[pu xm[qs
鹽都區	yj[tm du[te qu[ki
雁峰區	yj[ir fg[uw qu[ki
沿河土家族自治縣	yj[dj he[dk tu[uh jx[gu zu[fr zi[pm vi[ds xm[qs
鹽湖區	yj[tm hu[dg qu[ki
延吉市	yj[pj ji[uk ui[wj
雁江區	yj[ir jl[dg qu[ki
延津縣	yj[pj jb[dy xm[qs
鹽津縣	yj[tm jb[dy xm[qs
閻良區	yj[md ll[dg qu[ki
炎陵縣	yj[hh lk[et xm[qs
鄢陵縣	yj[he lk[et xm[qs
延平區	yj[pj pk[hb qu[ki
焉耆回族自治縣	yj[hh qi[to hv[wk zu[fr zi[pm vi[ds xm[qs
延慶區	yj[pj qk[gd qu[ki
雁山區	yj[ir uj[uk qu[ki
鹽山縣	yj[tm uj[uk xm[qs
硯山縣	yj[ej uj[uk xm[qs
鉛山縣	yj[jj uj[uk xm[qs
偃師市	yj[rk ui[uh ui[wj
延壽縣	yj[pj uz[fc xm[qs
雁塔區	yj[ir ta[tc qu[ki
煙臺市	yj[hw td[sk ui[wj
沿灘區	yj[dj tj[dy qu[ki
鹽田區	yj[tm tm[wu qu[ki
鹽亭縣	yj[tm tk[wd xm[qs
鹽源縣	yj[tm yr[di xm[qs
兗州區	yj[ls vz[dp qu[ki
漾濞彝族自治縣	yh[db bi[dz yi[vm zu[fr zi[pm vi[ds xm[qs
陽城縣	yh[eo ig[tw xm[qs
陽春市	yh[eo iy[so ui[wj
陽東區	yh[eo ds[qx qu[ki
陽高縣	yh[eo gc[wk xm[qs
陽穀縣	yh[eo gu[bk xm[qs
陽江市	yh[eo jl[dg ui[wj
楊陵區	yh[av lk[et qu[ki
陽明區	yh[eo mk[oo qu[ki
楊浦區	yh[av pu[df qu[ki
陽曲縣	yh[eo qu[ou xm[qs
陽泉市	yh[eo qr[bu ui[wj
陽山縣	yh[eo uj[uk xm[qs
陽朔縣	yh[eo uo[no xm[qs
陽西縣	yh[eo xi[hk xm[qs
洋縣	yh[dy xm[qs
陽信縣	yh[eo xb[ry xm[qs
陽新縣	yh[eo xb[lj xm[qs
陽原縣	yh[eo yr[ib xm[qs
揚中市	yh[fv vs[ku ui[wj
揚州市	yh[fv vz[dp ui[wj
姚安縣	yc[nv an[gn xm[qs
堯都區	yc[qh du[te qu[ki
瑤海區	yc[wa hd[dr qu[ki
耀州區	yc[xx vz[dp qu[ki
葉城縣	ye[ku ig[tw xm[qs
葉集區	ye[ku ji[va qu[ki
葉縣	ye[ku xm[qs
義安區	yi[di an[gn qu[ki
依安縣	yi[ry an[gn xm[qs
宜賓市	yi[gq bb[gq ui[wj
宜昌市	yi[gq ih[oo ui[wj
嶧城區	yi[uy ig[tw qu[ki
驛城區	yi[my ig[tw qu[ki
宜城市	yi[gq ig[tw ui[wj
翼城縣	yi[xt ig[tw xm[qs
伊川縣	yi[rx ir[pu xm[qs
宜川縣	yi[gq ir[pu xm[qs
伊春市	yi[rx iy[so ui[wj
宜春市	yi[gq iy[so ui[wj
宜都市	yi[gq du[te ui[wj
宜豐縣	yi[gq fg[su xm[qs
宜黃縣	yi[gq hl[gy xm[qs
弋江區	yi[qd jl[dg qu[ki
伊金霍洛旗	yi[rx jb[rw ho[yv lo[dw qi[fr
宜君縣	yi[gq jy[xk xm[qs
依蘭縣	yi[ry lj[bs xm[qs
伊犁哈薩克自治州	yi[rx li[hn ha[kr sa[ce ke[ge zi[pm vi[ds vz[dp
宜良縣	yi[gq ll[dg xm[qs
彝良縣	yi[vm ll[dg xm[qs
夷陵區	yi[hg lk[et qu[ki
儀隴縣	yi[rd ls[ey xm[qs
義馬市	yi[di ma[vv ui[wj
伊美區	yi[rx mw[bw qu[ki
易門縣	yi[ob mf[du xm[qs
沂南縣	yi[dj nj[uk xm[qs
伊寧市	yi[rx nk[gd ui[wj
伊寧縣	yi[rx nk[gd xm[qs
沂水縣	yi[dj uv[uu xm[qs
伊通滿族自治縣	yi[rx ts[sz mj[dc zu[fr zi[pm vi[ds xm[qs
義烏市	yi[di wu[bv ui[wj
伊吾縣	yi[rx wu[wk xm[qs
義縣	yi[di xm[qs
易縣	yi[ob xm[qs
黟縣	yi[hx xm[qs
宜興市	yi[gq xk[xb ui[wj
宜秀區	yi[gq xq[hn qu[ki
益陽市	yi[bm yh[eo ui[wj
宜陽縣	yi[gq yh[eo xm[qs
弋陽縣	yi[qd yh[eo xm[qs
沂源縣	yi[dj yr[di xm[qs
宜章縣	yi[gq vh[lo xm[qs
儀徵市	yi[rd vg[rh ui[wj
伊州區	yi[rx vz[dp qu[ki
宜州區	yi[gq vz[dp qu[ki
銀川市	yb[jg ir[pu ui[wj
殷都區	yb[pj du[te qu[ki
銀海區	yb[jg hd[dr qu[ki
印江土家族苗族自治縣	yb[pe jl[dg tu[uh jx[gu zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
印臺區	yb[pe td[sk qu[ki
鄞州區	yb[ne vz[dp qu[ki
銀州區	yb[jg vz[dp qu[ki
應城市	yk[gx ig[tw ui[wj
英德市	yk[ck de[ru ui[wj
潁東區	yk[by ds[qx qu[ki
英吉沙縣	yk[ck ji[uk ua[dx xm[qs
迎江區	yk[pz jl[dg qu[ki
盈江縣	yk[nm jl[dg xm[qs
滎經縣	yk[cu jk[ss xm[qs
營口市	yk[ck kz[uv ui[wj
潁泉區	yk[by qr[bu qu[ki
英山縣	yk[ck uj[uk xm[qs
營山縣	yk[ck uj[uk xm[qs
潁上縣	yk[by uh[bh xm[qs
鷹手營子礦區	yk[gn uz[su yk[ck zi[lh kl[eg qu[ki
鷹潭市	yk[gn tj[dx ui[wj
應縣	yk[gx xm[qs
迎澤區	yk[pz ze[dy qu[ki
潁州區	yk[by vz[dp qu[ki
永安市	ys[dv an[gn ui[wj
永昌縣	ys[dv ih[oo xm[qs
永城市	ys[dv ig[tw ui[wj
永川區	ys[dv ir[pu qu[ki
永春縣	ys[dv iy[so xm[qs
永德縣	ys[dv de[ru xm[qs
永登縣	ys[dv dg[dd xm[qs
永定區	ys[dv dk[gp qu[ki
永豐縣	ys[dv fg[su xm[qs
永福縣	ys[dv fu[uh xm[qs
永和縣	ys[dv he[hk xm[qs
永濟市	ys[dv ji[dw ui[wj
永吉縣	ys[dv ji[uk xm[qs
永嘉縣	ys[dv jx[ul xm[qs
永靖縣	ys[dv jk[lf xm[qs
永康市	ys[dv kh[gx ui[wj
永年區	ys[dv nm[rn qu[ki
邕寧區	ys[vk nk[gd qu[ki
永寧縣	ys[dv nk[gd xm[qs
永平縣	ys[dv pk[hb xm[qs
埇橋區	ys[[ qn[ap qu[ki
永清縣	ys[dv qk[df xm[qs
永仁縣	ys[dv rf[re xm[qs
永善縣	ys[dv uj[yk xm[qs
永勝縣	ys[dv ug[op xm[qs
永壽縣	ys[dv uz[fc xm[qs
永順縣	ys[dv uy[iy xm[qs
永泰縣	ys[dv td[su xm[qs
永新縣	ys[dv xb[lj xm[qs
永興縣	ys[dv xk[xb xm[qs
永修縣	ys[dv xq[ru xm[qs
永州市	ys[dv vz[dp ui[wj
友好區	yz[uy hc[nz qu[ki
右江區	yz[uk jl[dg qu[ki
尤溪縣	yz[yd xi[da xm[qs
攸縣	yz[ru xm[qs
遊仙區	yz[df xm[ru qu[ki
酉陽土家族苗族自治縣	yz[xh yh[eo tu[uh jx[gu zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
友誼縣	yz[uy yi[yg xm[qs
右玉縣	yz[uk yu[wd xm[qs
裕安區	yu[yb an[gn qu[ki
渝北區	yu[dr bw[ub qu[ki
雨城區	yu[hk ig[tw qu[ki
禹城市	yu[pk ig[tw ui[wj
虞城縣	yu[hk ig[tw xm[qs
榆次區	yu[ar ci[dd qu[ki
于都縣	yu[eu du[te xm[qs
魚峰區	yu[dt fg[uw qu[ki
餘干縣	yu[re gj[hu xm[qs
餘杭區	yu[re hh[aw qu[ki
于洪區	yu[eu hs[dg qu[ki
雨湖區	yu[hk hu[dg qu[ki
裕華區	yu[yb hx[ru qu[ki
雨花區	yu[hk hx[cr qu[ki
雨花臺區	yu[hk hx[cr td[sk qu[ki
玉環市	yu[wd hr[wb ui[wj
禹會區	yu[pk hv[re qu[ki
餘江區	yu[re jl[dg qu[ki
尉犁縣	yu[uc li[hn xm[qs
榆林市	yu[ar lb[aa ui[wj
玉林市	yu[wd lb[aa ui[wj
玉龍納西族自治縣	yu[wd ls[yp na[sk xi[hk zu[fr zi[pm vi[ds xm[qs
玉門市	yu[wd mf[du ui[wj
裕民縣	yu[yb mb[kv xm[qs
鬱南縣	yu[ue nj[uk xm[qs
玉屏侗族自治縣	yu[wd pk[ub ds[rk zu[fr zi[pm vi[ds xm[qs
餘慶縣	yu[re qk[gd xm[qs
玉泉區	yu[wd qr[bu qu[ki
雨山區	yu[hk uj[uk qu[ki
玉山縣	yu[wd uj[uk xm[qs
榆社縣	yu[ar ue[ut xm[qs
榆樹市	yu[ar uu[ay ui[wj
玉樹市	yu[wd uu[ay ui[wj
玉樹藏族自治州	yu[wd uu[ay zh[cw zu[fr zi[pm vi[ds vz[dp
渝水區	yu[dr uv[uu qu[ki
魚臺縣	yu[dt td[sk xm[qs
于田縣	yu[eu tm[wu xm[qs
玉田縣	yu[wd tm[wu xm[qs
禹王臺區	yu[pk wh[su td[sk qu[ki
玉溪市	yu[wd xi[da ui[wj
盂縣	yu[em xm[qs
蔚縣	yu[cu xm[qs
榆陽區	yu[ar yh[eo qu[ki
餘姚市	yu[re yc[nv ui[wj
渝中區	yu[dr vs[ku qu[ki
榆中縣	yu[ar vs[ku xm[qs
玉州區	yu[wd vz[dp qu[ki
禹州市	yu[pk vz[dp ui[wj
遠安縣	yr[ez an[gn xm[qs
元寶區	yr[ee bc[gw qu[ki
元寶山區	yr[ee bc[gw uj[uk qu[ki
源城區	yr[di ig[tw qu[ki
源匯區	yr[di hv[dk qu[ki
元江哈尼族彝族傣族自治縣	yr[ee jl[dg ha[kr ni[ub zu[fr yi[vm zu[fr dd[rs zu[fr zi[pm vi[ds xm[qs
沅江市	yr[de jl[dg ui[wj
沅陵縣	yr[de lk[et xm[qs
元謀縣	yr[ee mz[yg xm[qs
原平市	yr[ib pk[hb ui[wj
垣曲縣	yr[th qu[ou xm[qs
元氏縣	yr[ee ui[pq xm[qs
元陽縣	yr[ee yh[eo xm[qs
原陽縣	yr[ib yh[eo xm[qs
原州區	yr[ib vz[dp qu[ki
袁州區	yr[tk vz[dp qu[ki
越城區	yt[zh ig[tw qu[ki
嶽池縣	yt[qu ii[dy xm[qs
月湖區	yt[ke hu[dg qu[ki
嶽麓區	yt[qu lu[ag qu[ki
嶽普湖縣	yt[qu pu[bo hu[dg xm[qs
樂清市	yt[px qk[df ui[wj
嶽塘區	yt[qu th[tg qu[ki
嶽西縣	yt[qu xi[hk xm[qs
越西縣	yt[zh xi[hk xm[qs
越秀區	yt[zh xq[hn qu[ki
岳陽樓區	yt[qu yh[eo lz[am qu[ki
岳陽市	yt[qu yh[eo ui[wj
岳陽縣	yt[qu yh[eo xm[qs
雲安區	yy[es an[gn qu[ki
云城區	yy[es ig[tw qu[ki
運城市	yy[ez ig[tw ui[wj
鄆城縣	yy[ge ig[tw xm[qs
雲浮市	yy[es fu[da ui[wj
雲岡區	yy[es gh[ki qu[ki
運河區	yy[ez he[dk qu[ki
雲和縣	yy[es he[hk xm[qs
