阿苯噠唑	aa[ek bf[ca da[kd zo[kr
苯基苯二胺	bf[ca ji[qt bf[ca er[hh an[og
苯基苯甲酸	bf[ca ji[qt bf[ca jx[ou sr[ys
苯基苯乙酮	bf[ca ji[qt bf[ca yi[vv ts[yk
苯基吡咯烷	bf[ca ji[qt bi[kb lo[kw wj[hg
苯基丙胺	bf[ca ji[qt bk[hk an[og
苯基丙氨酸	bf[ca ji[qt bk[hk an[qg sr[ys
苯基丙醇	bf[ca ji[qt bk[hk iy[yw
苯基丙二酸	bf[ca ji[qt bk[hk er[hh sr[ys
苯基丙二酮	bf[ca ji[qt bk[hk er[hh ts[yk
苯基丙醛	bf[ca ji[qt bk[hk qr[yc
苯基丙酸	bf[ca ji[qt bk[hk sr[ys
苯基丙酸丙酯	bf[ca ji[qt bk[hk sr[ys bk[hk vi[yb
苯基丙酸甲酯	bf[ca ji[qt bk[hk sr[ys jx[ou vi[yb
苯基丙酸乙酯	bf[ca ji[qt bk[hk sr[ys yi[vv vi[yb
苯基丙酮	bf[ca ji[qt bk[hk ts[yk
苯基丙酮鈉鹽	bf[ca ji[qt bk[hk ts[yk na[jk yj[tm
苯基丙酮酸鈉	bf[ca ji[qt bk[hk ts[yk sr[ys na[jk
苯基丙稀酸酯	bf[ca ji[qt bk[hk xi[hi sr[ys vi[yb
苯基次磷酸	bf[ca ji[qt ci[dd lb[em sr[ys
苯基代硫脲	bf[ca ji[qt dd[rq lq[ew nn[ou
苯基丁醇	bf[ca ji[qt dk[hu iy[yw
苯基丁二酸	bf[ca ji[qt dk[hu er[hh sr[ys
苯基丁酸	bf[ca ji[qt dk[hu sr[ys
苯基丁酸酐	bf[ca ji[qt dk[hu sr[ys gj[yg
苯基丁烯	bf[ca ji[qt dk[hu xi[hi
苯基丁酰氯	bf[ca ji[qt dk[hu xm[yn lv[qx
苯基噁唑烷	bf[ca ji[qt ee[[ zo[kr wj[hg
苯基噁唑烷酮	bf[ca ji[qt ee[[ zo[kr wj[hg ts[yk
苯基惡唑烷酮	bf[ca ji[qt ee[hx zo[kr wj[hg ts[yk
苯基蒽	bf[ca ji[qt en[cw
苯基二苯胺	bf[ca ji[qt er[hh bf[ca an[og
苯基二苯甲醇	bf[ca ji[qt er[hh bf[ca jx[ou iy[yw
苯基二苯甲酮	bf[ca ji[qt er[hh bf[ca jx[ou ts[yk
苯基二氯膦	bf[ca ji[qt er[hh lv[qx lb[om
苯基甘氨酸	bf[ca ji[qt gj[nh an[qg sr[ys
苯基硅橡膠	bf[ca ji[qt gv[et xl[ad jn[ol
苯基環己胺	bf[ca ji[qt hr[wb ji[kv an[og
苯基環己酮	bf[ca ji[qt hr[wb ji[kv ts[yk
苯基環己烷	bf[ca ji[qt hr[wb ji[kv wj[hg
苯基甲基硅油	bf[ca ji[qt jx[ou ji[qt gv[et yz[dy
苯基甲萘胺	bf[ca ji[qt jx[ou nd[cd an[og
苯基甲烷	bf[ca ji[qt jx[ou wj[hg
苯基聯胺	bf[ca ji[qt lm[eb an[og
苯基磷酸酯	bf[ca ji[qt lb[em sr[ys vi[yb
苯基硫脲	bf[ca ji[qt lq[ew nn[ou
苯基氯化汞	bf[ca ji[qt lv[qx hx[rq gs[gu
苯基嗎啉	bf[ca ji[qt ma[km lb[ka
苯基咪唑	bf[ca ji[qt mi[km zo[kr
苯基咪唑啉	bf[ca ji[qt mi[km zo[kr lb[ka
苯基萘胺	bf[ca ji[qt nd[cd an[og
苯基脲	bf[ca ji[qt nn[ou
苯基脲唑	bf[ca ji[qt nn[ou zo[kr
苯基葡糖苷	bf[ca ji[qt pu[cb th[mg gj[cg
苯基羥胺	bf[ca ji[qt ql[ys an[og
苯基羥基丙酸	bf[ca ji[qt ql[ys ji[qt bk[hk sr[ys
苯基肉桂腈	bf[ca ji[qt rz[kr gv[at jk[of
苯基肉桂酸	bf[ca ji[qt rz[kr gv[at sr[ys
苯基噻二唑	bf[ca ji[qt sd[kg er[hh zo[kr
苯基三氯硅烷	bf[ca ji[qt sj[hh lv[qx gv[et wj[hg
苯基三嗪二胺	bf[ca ji[qt sj[hh qb[ks er[hh an[og
苯基十二烷	bf[ca ji[qt ui[hu er[hh wj[hg
苯基絲氨酸	bf[ca ji[qt si[sh an[qg sr[ys
苯基四氫吡啶	bf[ca ji[qt si[we qk[qs bi[kb dk[kg
苯基縮水甘油醚	bf[ca ji[qt so[sg uv[uu gj[nh yz[dy mi[ym
苯基芴醇	bf[ca ji[qt wu[cb iy[yw
苯基戊二酮	bf[ca ji[qt wu[iv er[hh ts[yk
苯基戊烷	bf[ca ji[qt wu[iv wj[hg
苯基溴芴烷	bf[ca ji[qt xq[dz wu[cb wj[hg
苯基乙胺	bf[ca ji[qt yi[vv an[og
苯基乙醇	bf[ca ji[qt yi[vv iy[yw
苯基乙醇胺	bf[ca ji[qt yi[vv iy[yw an[og
苯基異丁酮	bf[ca ji[qt yi[kc dk[hu ts[yk
苯基乙二胺	bf[ca ji[qt yi[vv er[hh an[og
苯基乙二醇	bf[ca ji[qt yi[vv er[hh iy[yw
苯基乙二醛	bf[ca ji[qt yi[vv er[hh qr[yc
苯基異喹啉	bf[ca ji[qt yi[kc kv[kd lb[ka
苯基吲哚	bf[ca ji[qt yb[kg do[kj
苯基吲哚甲醛	bf[ca ji[qt yb[kg do[kj jx[ou qr[yc
苯基正戊酸	bf[ca ji[qt vg[hv wu[iv sr[ys
苯甲醇	bf[ca jx[ou iy[yw
苯甲基	bf[ca jx[ou ji[qt
苯甲基二甲胺	bf[ca jx[ou ji[qt er[hh jx[ou an[og
苯甲基硅油	bf[ca jx[ou ji[qt gv[et yz[dy
苯甲基磺酰氟	bf[ca jx[ou ji[qt hl[eg xm[yn fu[qf
苯甲腈	bf[ca jx[ou jk[of
苯甲醚	bf[ca jx[ou mi[ym
苯甲醛	bf[ca jx[ou qr[yc
苯甲醛苯腙	bf[ca jx[ou qr[yc bf[ca zs[og
苯甲醛磺酸鈉	bf[ca jx[ou qr[yc hl[eg sr[ys na[jk
苯甲酸	bf[ca jx[ou sr[ys
苯甲酸銨	bf[ca jx[ou sr[ys an[jg
苯甲酸苯酯	bf[ca jx[ou sr[ys bf[ca vi[yb
苯甲酸丙酯	bf[ca jx[ou sr[ys bk[hk vi[yb
苯甲酸雌二醇	bf[ca jx[ou sr[ys ci[vv er[hh iy[yw
苯甲酸鈣	bf[ca jx[ou sr[ys gd[jx
苯甲酸酐	bf[ca jx[ou sr[ys gj[yg
苯甲酸汞	bf[ca jx[ou sr[ys gs[gu
苯甲酸鉀	bf[ca jx[ou sr[ys jx[jo
苯甲酸甲酯	bf[ca jx[ou sr[ys jx[ou vi[yb
苯甲酸鈉	bf[ca jx[ou sr[ys na[jk
苯甲酸萘酚酯	bf[ca jx[ou sr[ys nd[cd ff[yf vi[yb
苯甲酸萘酯	bf[ca jx[ou sr[ys nd[cd vi[yb
苯甲酸異丙酯	bf[ca jx[ou sr[ys yi[kc bk[hk vi[yb
苯甲酸異丁酯	bf[ca jx[ou sr[ys yi[kc dk[hu vi[yb
苯甲酸異戊酯	bf[ca jx[ou sr[ys yi[kc wu[iv vi[yb
苯甲酸乙酯	bf[ca jx[ou sr[ys yi[vv vi[yb
苯甲酸正丙酯	bf[ca jx[ou sr[ys vg[hv bk[hk vi[yb
苯甲酸正丁酯	bf[ca jx[ou sr[ys vg[hv dk[hu vi[yb
苯甲酸正辛酯	bf[ca jx[ou sr[ys vg[hv xb[lu vi[yb
苯甲酰胺	bf[ca jx[ou xm[yn an[og
苯甲酰苯胺	bf[ca jx[ou xm[yn bf[ca an[og
苯甲酰苯酚	bf[ca jx[ou xm[yn bf[ca ff[yf
苯甲酰丙氨酸	bf[ca jx[ou xm[yn bk[hk an[qg sr[ys
苯甲酰丙酮	bf[ca jx[ou xm[yn bk[hk ts[yk
苯甲酰基	bf[ca jx[ou xm[yn ji[qt
苯甲酰甲基溴	bf[ca jx[ou xm[yn jx[ou ji[qt xq[dz
苯甲酰甲酸	bf[ca jx[ou xm[yn jx[ou sr[ys
苯甲酰肼	bf[ca jx[ou xm[yn jk[oe
苯甲酰腈	bf[ca jx[ou xm[yn jk[of
苯甲酰精胺酸	bf[ca jx[ou xm[yn jk[mf an[og sr[ys
苯甲酰精氨酸	bf[ca jx[ou xm[yn jk[mf an[qg sr[ys
苯甲酰氯	bf[ca jx[ou xm[yn lv[qx
苯甲酰萘	bf[ca jx[ou xm[yn nd[cd
苯甲酰哌啶	bf[ca jx[ou xm[yn pd[kp dk[kg
苯甲酰纈氨酸	bf[ca jx[ou xm[yn xp[su an[qg sr[ys
苯甲酰溴	bf[ca jx[ou xm[yn xq[dz
苯甲酰氧基	bf[ca jx[ou xm[yn yh[qy ji[qt
苯肼	bf[ca jk[oe
苯肼草酸鹽	bf[ca jk[oe cc[co sr[ys yj[tm
苯肼磺酸	bf[ca jk[oe hl[eg sr[ys
苯肼硫酸鹽	bf[ca jk[oe lq[ew sr[ys yj[tm
苯肼三氮唑	bf[ca jk[oe sj[hh dj[qh zo[kr
苯肼鹽酸鹽	bf[ca jk[oe yj[tm sr[ys yj[tm
苯膦	bf[ca lb[om
苯硫苯咪唑	bf[ca lq[ew bf[ca mi[km zo[kr
苯硫醇	bf[ca lq[ew iy[yw
苯硫代乙酸	bf[ca lq[ew dd[rq yi[vv sr[ys
苯硫酚	bf[ca lq[ew ff[yf
苯硫基甲烷	bf[ca lq[ew ji[qt jx[ou wj[hg
苯硫醚	bf[ca lq[ew mi[ym
苯硫咪唑	bf[ca lq[ew mi[km zo[kr
苯六酸	bf[ca lq[wb sr[ys
苯氯乙酮	bf[ca lv[qx yi[vv ts[yk
苯醚醛	bf[ca mi[ym qr[yc
本尼迪特溶液	bf[ah ni[ub di[yz te[nt rs[dx ye[dw
苯硼酸	bf[ca pg[eo sr[ys
苯偏三酸	bf[ca pm[rh sj[hh sr[ys
苯羥肟酸	bf[ca ql[ys wo[oh sr[ys
苯炔	bf[ca qt[hv
苯三酚	bf[ca sj[hh ff[yf
苯三酚三乙酯	bf[ca sj[hh ff[yf sj[hh yi[vv vi[yb
苯三甲酸	bf[ca sj[hh jx[ou sr[ys
苯三甲酸酐	bf[ca sj[hh jx[ou sr[ys gj[yg
苯三酸	bf[ca sj[hh sr[ys
苯三羧酸	bf[ca sj[hh so[ys sr[ys
苯三唑十八胺	bf[ca sj[hh zo[kr ui[hu ba[pd an[og
苯胂酸	bf[ca uf[oo sr[ys
本生燈	bf[ah ug[pf dg[hd
苯四酸酐	bf[ca si[we sr[ys gj[yg
苯肽	bf[ca td[od
苯酞	bf[ca td[yd
賁亭酸甲酯	bf[ub tk[wd sr[ys jx[ou vi[yb
苯妥美鈉	bf[ca to[an mw[bw na[jk
苯妥英	bf[ca to[an yk[ck
本芴醇	bf[ah wu[cb iy[yw
苯戊酮	bf[ca wu[iv ts[yk
苯烯	bf[ca xi[hi
苯酰苯羥胺	bf[ca xm[yn bf[ca ql[ys an[og
苯酰基哌啶酮	bf[ca xm[yn ji[qt pd[kp dk[kg ts[yk
苯酰氯	bf[ca xm[yn lv[qx
苯亞磺酸	bf[ca ya[hy hl[eg sr[ys
苯亞磺酸鈉	bf[ca ya[hy hl[eg sr[ys na[jk
苯亞磺酸鋅	bf[ca ya[hy hl[eg sr[ys xb[jl
苯亞硒酸	bf[ca ya[hy xi[ex sr[ys
苯亞硒酸酐	bf[ca ya[hy xi[ex sr[ys gj[yg
苯氧基	bf[ca yh[qy ji[qt
苯氧基苯酚	bf[ca yh[qy ji[qt bf[ca ff[yf
苯氧基苯甲醇	bf[ca yh[qy ji[qt bf[ca jx[ou iy[yw
苯氧基苯甲醛	bf[ca yh[qy ji[qt bf[ca jx[ou qr[yc
苯氧基苯甲酸	bf[ca yh[qy ji[qt bf[ca jx[ou sr[ys
苯氧基丙二醇	bf[ca yh[qy ji[qt bk[hk er[hh iy[yw
苯氧基酚	bf[ca yh[qy ji[qt ff[yf
苯氧基乙酰胺	bf[ca yh[qy ji[qt yi[vv xm[yn an[og
苯氧基乙酰氯	bf[ca yh[qy ji[qt yi[vv xm[yn lv[qx
苯氧氯化膦	bf[ca yh[qy lv[qx hx[rq lb[om
苯氧異丁酸	bf[ca yh[qy yi[kc dk[hu sr[ys
苯氧乙酸	bf[ca yh[qy yi[vv sr[ys
苯氧乙酸甲酯	bf[ca yh[qy yi[vv sr[ys jx[ou vi[yb
苯氧乙酰氯	bf[ca yh[qy yi[vv xm[yn lv[qx
苯乙胺	bf[ca yi[vv an[og
苯乙胺鹽酸鹽	bf[ca yi[vv an[og yj[tm sr[ys yj[tm
苯乙醇	bf[ca yi[vv iy[yw
苯乙二醇	bf[ca yi[vv er[hh iy[yw
苯乙基硼酸	bf[ca yi[vv ji[qt pg[eo sr[ys
苯乙硫醇	bf[ca yi[vv lq[ew iy[yw
苯乙醚	bf[ca yi[vv mi[ym
苯乙醛	bf[ca yi[vv qr[yc
苯乙炔	bf[ca yi[vv qt[hv
苯乙炔羧酸	bf[ca yi[vv qt[hv so[ys sr[ys
苯乙酸	bf[ca yi[vv sr[ys
苯乙酸甲酯	bf[ca yi[vv sr[ys jx[ou vi[yb
苯乙酸異丁酯	bf[ca yi[vv sr[ys yi[kc dk[hu vi[yb
苯乙酸乙酯	bf[ca yi[vv sr[ys yi[vv vi[yb
苯乙酮	bf[ca yi[vv ts[yk
苯乙烯	bf[ca yi[vv xi[hi
苯乙烯醇	bf[ca yi[vv xi[hi iy[yw
苯乙烯磺酸鈉	bf[ca yi[vv xi[hi hl[eg sr[ys na[jk
苯乙酰胺	bf[ca yi[vv xm[yn an[og
苯乙酰氯	bf[ca yi[vv xm[yn lv[qx
苯乙酰乙腈	bf[ca yi[vv xm[yn yi[vv jk[of
苯茚二酮	bf[ca yb[cp er[hh ts[yk
苯紫紅	bf[ca zi[vy hs[sg
苯佐卡因	bf[ca zo[ru ka[ub yb[wd
崩潰酶擔子菌	bg[uo kv[dv mw[yr dj[fo zi[lh jy[cw
比保留體積	bi[bb bc[rk lq[pt ti[ra ji[hk
鉍標準溶液	bi[jx bn[ae vy[dv rs[dx ye[dw
吡丙醚	bi[kb bk[hk mi[ym
鉍錠	bi[jx dk[jg
吡啶	bi[kb dk[kg
吡啶苯甲醛	bi[kb dk[kg bf[ca jx[ou qr[yc
吡啶氮氧化物	bi[kb dk[kg dj[qh yh[qy hx[rq wu[nb
吡啶二羧酸	bi[kb dk[kg er[hh so[ys sr[ys
吡啶磺酸	bi[kb dk[kg hl[eg sr[ys
吡啶甲醇	bi[kb dk[kg jx[ou iy[yw
吡啶甲磺酸鹽	bi[kb dk[kg jx[ou hl[eg sr[ys yj[tm
吡啶甲酸	bi[kb dk[kg jx[ou sr[ys
吡啶甲酸鉻	bi[kb dk[kg jx[ou sr[ys ge[jw
吡啶甲酸銅	bi[kb dk[kg jx[ou sr[ys ts[jk
吡啶甲酸乙酯	bi[kb dk[kg jx[ou sr[ys yi[vv vi[yb
吡啶甲酰胺	bi[kb dk[kg jx[ou xm[yn an[og
吡啶硫酮鈉	bi[kb dk[kg lq[ew ts[yk na[jk
吡啶硫酮銅	bi[kb dk[kg lq[ew ts[yk ts[jk
吡啶偶氮萘酚	bi[kb dk[kg ou[ro dj[qh nd[cd ff[yf
吡啶羥酸	bi[kb dk[kg ql[ys sr[ys
吡啶氫溴酸鹽	bi[kb dk[kg qk[qs xq[dz sr[ys yj[tm
吡啶三唑酮	bi[kb dk[kg sj[hh zo[kr ts[yk
吡啶羧酸	bi[kb dk[kg so[ys sr[ys
吡啶溴氰鹽	bi[kb dk[kg xq[dz qk[qf yj[tm
吡啶鹽酸鹽	bi[kb dk[kg yj[tm sr[ys yj[tm
吡啶氧化物	bi[kb dk[kg yh[qy hx[rq wu[nb
吡啶乙醇	bi[kb dk[kg yi[vv iy[yw
吡哆醇鹽酸鹽	bi[kb do[kx iy[yw yj[tm sr[ys yj[tm
吡哆醛鹽酸鹽	bi[kb do[kx qr[yc yj[tm sr[ys yj[tm
吡哆酸	bi[kb do[kx sr[ys
鉍粉	bi[jx ff[mf
鉍化氫	bi[jx hx[rq qk[qs
鉍塊	bi[jx kk[tv
鉍粒	bi[jx li[ml
閉路電勢	bi[mc lu[zw dm[ov ui[fl
吡羅紅	bi[kb lo[sx hs[sg
吡咯啉	bi[kb lo[kw lb[ka
吡咯羧酸	bi[kb lo[kw so[ys sr[ys
吡咯烷	bi[kb lo[kw wj[hg
吡咯烷吡啶	bi[kb lo[kw wj[hg bi[kb dk[kg
吡咯烷丁胺	bi[kb lo[kw wj[hg dk[hu an[og
吡咯烷酮	bi[kb lo[kw wj[hg ts[yk
蓖麻油酸度	bi[cp ma[ga yz[dy sr[ys du[gn
蓖麻油酸鈉	bi[cp ma[ga yz[dy sr[ys na[jk
蓖麻油酸鋅	bi[cp ma[ga yz[dy sr[ys xb[jl
蓖麻油脂肪酸	bi[cp ma[ga yz[dy vi[ob fh[of sr[ys
吡喃	bi[kb nj[ku
吡喃糖	bi[kb nj[ku th[mg
比濃對數粘度	bi[bb ns[dg dv[yc uu[mw nm[mb du[gn
吡嗪	bi[kb qb[ks
吡嗪二羧酸	bi[kb qb[ks er[hh so[ys sr[ys
吡嗪肼	bi[kb qb[ks jk[oe
吡嗪羧酸	bi[kb qb[ks so[ys sr[ys
吡嗪酰胺	bi[kb qb[ks xm[yn an[og
比色法	bi[bb se[db fa[dt
比色管	bi[bb se[db gr[vg
鉍試劑	bi[jx ui[yq ji[wd
鉍試劑鉀鹽	bi[jx ui[yq ji[wd jx[jo yj[tm
俾士麥棕	bi[rb ui[uh md[fw zs[ag
鉍酸鈉	bi[jx sr[ys na[jk
比吸光係數	bi[bb xi[kj gl[xe xi[py uu[mw
吡效隆調吡脲	bi[kb xn[lw ls[ew tn[yk bi[kb nn[ou
比旋光	bi[bb xr[fr gl[xe
比重瓶	bi[bb vs[ph pk[bw
吡唑	bi[kb zo[kr
吡唑二羧酸	bi[kb zo[kr er[hh so[ys sr[ys
吡唑啉	bi[kb zo[kr lb[ka
吡唑啉酮	bi[kb zo[kr lb[ka ts[yk
苄氨基吡啶	bm[cd an[qg ji[qt bi[kb dk[kg
苄氨基喋呤	bm[cd an[qg ji[qt dp[kn lk[kr
苄胺基嘌呤	bm[cd an[og ji[qt pn[kx lk[kr
苄氨基嘌呤	bm[cd an[qg ji[qt pn[kx lk[kr
苄氨基乙醇	bm[cd an[qg ji[qt yi[vv iy[yw
變胺藍	bm[yy an[og lj[cu
苄吡喃腺嘌呤	bm[cd bi[kb nj[ku xm[ob pn[kx lk[kr
苄丙酮	bm[cd bk[hk ts[yk
苄叉丙酮	bm[cd ia[yd bk[hk ts[yk
苄橙	bm[cd ig[ad
扁豆凝集素	bm[hk dz[hk nk[db ji[va su[fy
變換爐	bm[yy hr[fd lu[hh
苄基氨基嘌呤	bm[cd ji[qt an[qg ji[qt pn[kx lk[kr
苄基半胱氨酸	bm[cd ji[qt bj[bf gl[ox an[qg sr[ys
苄基苯胺	bm[cd ji[qt bf[ca an[og
苄基吡啶	bm[cd ji[qt bi[kb dk[kg
卞基吡啶	bm[dx ji[qt bi[kb dk[kg
苄基吡咯酮	bm[cd ji[qt bi[kb lo[kw ts[yk
苄基丙二酸	bm[cd ji[qt bk[hk er[hh sr[ys
苄基丙酮	bm[cd ji[qt bk[hk ts[yk
苄基丙烯酸酯	bm[cd ji[qt bk[hk xi[hi sr[ys vi[yb
苄基丁二酸	bm[cd ji[qt dk[hu er[hh sr[ys
苄基噁唑烷酮	bm[cd ji[qt ee[[ zo[kr wj[hg ts[yk
苄基惡唑烷酮	bm[cd ji[qt ee[hx zo[kr wj[hg ts[yk
苄基二甲胺	bm[cd ji[qt er[hh jx[ou an[og
苄基二甲基胺	bm[cd ji[qt er[hh jx[ou ji[qt an[og
苄基酚	bm[cd ji[qt ff[yf
苄基海因	bm[cd ji[qt hd[dr yb[wd
苄基磺酰氯	bm[cd ji[qt hl[eg xm[yn lv[qx
苄基甲胺	bm[cd ji[qt jx[ou an[og
苄基甲基甲酮	bm[cd ji[qt jx[ou ji[qt jx[ou ts[yk
苄基聯苯	bm[cd ji[qt lm[eb bf[ca
苄基氯	bm[cd ji[qt lv[qx
苄基氯甲基醚	bm[cd ji[qt lv[qx jx[ou ji[qt mi[ym
苄基哌嗪	bm[cd ji[qt pd[kp qb[ks
苄基羥基哌啶	bm[cd ji[qt ql[ys ji[qt pd[kp dk[kg
苄基溶纖劑	bm[cd ji[qt rs[dx xm[sq ji[wd
苄基絲氨酸	bm[cd ji[qt si[sh an[qg sr[ys
苄基異丙胺	bm[cd ji[qt yi[kc bk[hk an[og
苄基乙醛	bm[cd ji[qt yi[vv qr[yc
苄甲醚	bm[cd jx[ou mi[ym
苄硫醇	bm[cd lq[ew iy[yw
苄硫基煙酸	bm[cd lq[ew ji[qt yj[hw sr[ys
苄硫基乙醇	bm[cd lq[ew ji[qt yi[vv iy[yw
編碼數據	bm[sh ma[em uu[mw ju[fu
苄醚	bm[cd mi[ym
變色硅膠	bm[yy se[db gv[et jn[ol
變色酸	bm[yy se[db sr[ys
變色酸鈉	bm[yy se[db sr[ys na[jk
扁桃酸	bm[hk tc[av sr[ys
扁桃酸乙酯	bm[hk tc[av sr[ys yi[vv vi[yb
變性乙醇	bm[yy xk[xp yi[vv iy[yw
苄氧基	bm[cd yh[qy ji[qt
苄氧基苯硼酸	bm[cd yh[qy ji[qt bf[ca pg[eo sr[ys
苄氧基苯乙酮	bm[cd yh[qy ji[qt bf[ca yi[vv ts[yk
苄氧基酚	bm[cd yh[qy ji[qt ff[yf
苄氧基羧酸	bm[cd yh[qy ji[qt so[ys sr[ys
苄氧基乙醇	bm[cd yh[qy ji[qt yi[vv iy[yw
苄氧基吲哚	bm[cd yh[qy ji[qt yb[kg do[kj
苄氧甲酰氯	bm[cd yh[qy jx[ou xm[yn lv[qx
苄氧羰基	bm[cd yh[qy th[yu ji[qt
苄氧羰基氨基	bm[cd yh[qy th[yu ji[qt an[qg ji[qt
苄乙醚	bm[cd yi[vv mi[ym
邊緣效應	bm[lz yr[sv xn[lw yk[gx
編織填料墊片	bm[sh vi[sk tm[tu ln[md dm[ft pm[pu
扁枝衣二酸	bm[hk vi[au yi[wy er[hh sr[ys
標本缸	bn[ae bf[ah gh[wg
標本瓶	bn[ae bf[ah pk[bw
標度	bn[ae du[gn
標度因子	bn[ae du[gn yb[wd zi[lh
標記原子	bn[ae ji[yk yr[ib zi[lh
表面不均勻性	bn[fy mm[ew bu[eu jy[tb yy[bd xk[xp
表面處理劑	bn[fy mm[ew iu[wb li[wo ji[wd
表面電導	bn[fy mm[ew dm[ov dc[kc
表面電勢	bn[fy mm[ew dm[ov ui[fl
表面反應	bn[fy mm[ew fj[py yk[gx
表面活性劑	bn[fy mm[ew ho[dq xk[xp ji[wd
表面結構分析	bn[fy mm[ew jp[su gz[ab ff[bd xi[aj
表面皿	bn[fy mm[ew mb[ku
表面膜	bn[fy mm[ew mo[oc
表面膜勢	bn[fy mm[ew mo[oc ui[fl
表面遷移率	bn[fy mm[ew qm[qz yi[hx lv[wu
表面張力	bn[fy mm[ew vh[gi li[vp
標準苯甲酸	bn[ae vy[dv bf[ca jx[ou sr[ys
標準蛋白	bn[ae vy[dv dj[pi bd[po
標準電池	bn[ae vy[dv dm[ov ii[dy
標準燃燒熱	bn[ae vy[dv rj[hx uc[hq re[fd
標準溶液	bn[ae vy[dv rs[dx ye[dw
標準誤差	bn[ae vy[dv wu[yk ia[yg
標準狀態	bn[ae vy[dv vl[dq td[dx
別胱硫醚	bp[kd gl[ox lq[ew mi[ym
別嘌呤醇	bp[kd pn[kx lk[kr iy[yw
別蘇氨酸	bp[kd su[cl an[qg sr[ys
鱉酸	bp[by sr[ys
別異白氨酸	bp[kd yi[kc bd[po an[qg sr[ys
丙胺	bk[hk an[og
丙氨基嗎啉	bk[hk an[qg ji[qt ma[km lb[ka
丙氨酸	bk[hk an[qg sr[ys
丙氨酰丙氨酸	bk[hk an[qg xm[yn bk[hk an[qg sr[ys
丙氨酰萘胺	bk[hk an[qg xm[yn nd[cd an[og
丙氨酰絲氨酸	bk[hk an[qg xm[yn si[sh an[qg sr[ys
丙苯	bk[hk bf[ca
並苯	bk[bk bf[ca
丙醇酸	bk[hk iy[yw sr[ys
冰醋酸	bk[du cu[yg sr[ys
丙二胺	bk[hk er[hh an[og
丙二醇	bk[hk er[hh iy[yw
丙二醇單甲醚	bk[hk er[hh iy[yw dj[bo jx[ou mi[ym
丙二醇單乙醚	bk[hk er[hh iy[yw dj[bo yi[vv mi[ym
丙二醇丁醚	bk[hk er[hh iy[yw dk[hu mi[ym
丙二醇獨丁醚	bk[hk er[hh iy[yw du[qi dk[hu mi[ym
丙二醇獨甲醚	bk[hk er[hh iy[yw du[qi jx[ou mi[ym
丙二醇甲醚	bk[hk er[hh iy[yw jx[ou mi[ym
丙二醇單丁醚	bk[hk er[hh iy[yw uj[bo dk[hu mi[ym
丙二醇一丁醚	bk[hk er[hh iy[yw yi[hh dk[hu mi[ym
丙二醇乙醚	bk[hk er[hh iy[yw yi[vv mi[ym
丙二腈	bk[hk er[hh jk[of
丙二硫醇	bk[hk er[hh lq[ew iy[yw
丙二酸	bk[hk er[hh sr[ys
丙二酸二甲酯	bk[hk er[hh sr[ys er[hh jx[ou vi[yb
丙二酸二乙酯	bk[hk er[hh sr[ys er[hh yi[vv vi[yb
丙二酸鈉	bk[hk er[hh sr[ys na[jk
丙二酸鉈	bk[hk er[hh sr[ys ta[jg
丙二酸鹽肉湯	bk[hk er[hh sr[ys yj[tm rz[kr th[dv
丙二烯	bk[hk er[hh xi[hi
丙二酰氯	bk[hk er[hh xm[yn lv[qx
丙肝試紙	bk[hk gj[og ui[yq vi[su
丙谷胺	bk[hk gu[bk an[og
丙磺酸內酯	bk[hk hl[eg sr[ys nw[kr vi[yb
冰機	bk[du ji[aj
丙基苯胺	bk[hk ji[qt bf[ca an[og
丙基苯基甲酮	bk[hk ji[qt bf[ca ji[qt jx[ou ts[yk
丙基吡啶	bk[hk ji[qt bi[kb dk[kg
丙基紅	bk[hk ji[qt hs[sg
丙基環戊烷	bk[hk ji[qt hr[wb wu[iv wj[hg
丙基黃嘌呤	bk[hk ji[qt hl[gy pn[kx lk[kr
丙基磺酸	bk[hk ji[qt hl[eg sr[ys
丙基磺酰氯	bk[hk ji[qt hl[eg xm[yn lv[qx
丙基氯化吡啶	bk[hk ji[qt lv[qx hx[rq bi[kb dk[kg
丙基哌啶酮	bk[hk ji[qt pd[kp dk[kg ts[yk
丙基七環	bk[hk ji[qt qi[hv hr[wb
丙基三氯硅烷	bk[hk ji[qt sj[hh lv[qx gv[et wj[hg
丙基戊酸	bk[hk ji[qt wu[iv sr[ys
丙基溴苯	bk[hk ji[qt xq[dz bf[ca
丙基溴化吡啶	bk[hk ji[qt xq[dz hx[rq bi[kb dk[kg
丙基乙酰苯胺	bk[hk ji[qt yi[vv xm[yn bf[ca an[og
丙腈	bk[hk jk[of
丙硫醇	bk[hk lq[ew iy[yw
丙硫基	bk[hk lq[ew ji[qt
丙醚	bk[hk mi[ym
丙內酯	bk[hk nw[kr vi[yb
並企圖	bk[bk qi[rv tu[ww
柄麴菌素	bk[ah qu[ou jy[cw su[fy
丙醛	bk[hk qr[yc
丙炔基	bk[hk qt[hv ji[qt
丙炔氯	bk[hk qt[hv lv[qx
丙炔酸	bk[hk qt[hv sr[ys
丙炔酸甲酯	bk[hk qt[hv sr[ys jx[ou vi[yb
丙炔酸乙酯	bk[hk qt[hv sr[ys yi[vv vi[yb
丙炔壓縮氣體	bk[hk qt[hv ya[it so[sg qi[rh ti[ra
丙三醇	bk[hk sj[hh iy[yw
